summary_scope,source_name,config_id,config_name,n_trials,fixed_success,adaptive_success,fixed_rmse,adaptive_rmse,fixed_mean_num_pairs,adaptive_mean_num_pairs,adaptive_vs_fixed_pair_count_ratio,adaptive_full_grid_match_rate,adaptive_topK_miss_rate,adaptive_boundary_hit_rate,policy_degeneracy_flag,max_policy_rate
config overall,config_scan,NaN,,600,1,1,0.0765589261213527,0.0721189329111127,19090.62,16601.8133333333,0.869631962363367,0.786666666666667,0,0,0,0.6
config overall,config_scan,1,C01_normal_only_control,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,19090.62,1,1,0,0,1,1
config calibration,config_scan,1,C01_normal_only_control,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,19623.24,1,1,0,0,1,1
config validation,config_scan,1,C01_normal_only_control,25,1,1,0.0743030112985544,0.0743030112985544,18558,18558,1,1,0,0,1,1
config zero-bias,config_scan,1,C01_normal_only_control,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,19090.62,1,1,0,0,1,1
config all-bias,config_scan,1,C01_normal_only_control,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,2,C02_easy_conservative,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16966.18,0.888718124398265,1,0,0,0,0.66
config calibration,config_scan,2,C02_easy_conservative,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,16655.96,0.848787458136373,1,0,0,0,0.52
config validation,config_scan,2,C02_easy_conservative,25,1,1,0.0743030112985544,0.0743030112985544,18558,17276.4,0.93094083414161,1,0,0,0,0.8
config zero-bias,config_scan,2,C02_easy_conservative,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16966.18,0.888718124398265,1,0,0,0,0.66
config all-bias,config_scan,2,C02_easy_conservative,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,3,C03_easy_moderate,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,16387,0.858379664987308,0.5,0,0,0,0.5
config calibration,config_scan,3,C03_easy_moderate,25,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0.6
config validation,config_scan,3,C03_easy_moderate,25,1,1,0.0743030112985544,0.0683474244553435,18558,16502,0.889212199590473,0.6,0,0,0,0.6
config zero-bias,config_scan,3,C03_easy_moderate,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,16387,0.858379664987308,0.5,0,0,0,0.5
config all-bias,config_scan,3,C03_easy_moderate,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,4,C04_easy_aggressive,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,15393.7,0.80634887709252,0.5,0,0,0,0.5
config calibration,config_scan,4,C04_easy_aggressive,25,1,1,0.0788148409441511,0.0692573275540087,19623.24,14932.2,0.760944675802773,0.4,0,0,0,0.6
config validation,config_scan,4,C04_easy_aggressive,25,1,1,0.0743030112985544,0.0683474244553435,18558,15855.2,0.854359305959694,0.6,0,0,0,0.6
config zero-bias,config_scan,4,C04_easy_aggressive,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,15393.7,0.80634887709252,0.5,0,0,0,0.5
config all-bias,config_scan,4,C04_easy_aggressive,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,5,C05_easy_very_aggressive,50,1,1,0.0765589261213527,0.0550088138632942,19090.62,13668.3,0.715969413251115,1,0,0,0,0.6
config calibration,config_scan,5,C05_easy_very_aggressive,25,1,1,0.0788148409441511,0.0572647286860925,19623.24,14094,0.718230017061403,1,0,0,0,0.6
config validation,config_scan,5,C05_easy_very_aggressive,25,1,1,0.0743030112985544,0.0527528990404958,18558,13242.6,0.713579049466537,1,0,0,0,0.6
config zero-bias,config_scan,5,C05_easy_very_aggressive,50,1,1,0.0765589261213527,0.0550088138632942,19090.62,13668.3,0.715969413251115,1,0,0,0,0.6
config all-bias,config_scan,5,C05_easy_very_aggressive,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,6,C06_no_window_expand,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,16387,0.858379664987308,0.5,0,0,0,0.5
config calibration,config_scan,6,C06_no_window_expand,25,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0.6
config validation,config_scan,6,C06_no_window_expand,25,1,1,0.0743030112985544,0.0683474244553435,18558,16502,0.889212199590473,0.6,0,0,0,0.6
config zero-bias,config_scan,6,C06_no_window_expand,50,1,1,0.0765589261213527,0.0688023760046761,19090.62,16387,0.858379664987308,0.5,0,0,0,0.5
config all-bias,config_scan,6,C06_no_window_expand,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,7,C07_topK_only,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16358.32,0.85687735652378,1,0,0,0,0.5
config calibration,config_scan,7,C07_topK_only,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,16302.8,0.83079043012265,1,0,0,0,0.6
config validation,config_scan,7,C07_topK_only,25,1,1,0.0743030112985544,0.0743030112985544,18558,16413.84,0.884461687681862,1,0,0,0,0.52
config zero-bias,config_scan,7,C07_topK_only,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16358.32,0.85687735652378,1,0,0,0,0.5
config all-bias,config_scan,7,C07_topK_only,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,8,C08_safe_default,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,17058.7,0.893564483500274,1,0,0,0,0.68
config calibration,config_scan,8,C08_safe_default,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,16841,0.858217093609414,1,0,0,0,0.56
config validation,config_scan,8,C08_safe_default,25,1,1,0.0743030112985544,0.0743030112985544,18558,17276.4,0.93094083414161,1,0,0,0,0.8
config zero-bias,config_scan,8,C08_safe_default,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,17058.7,0.893564483500274,1,0,0,0,0.68
config all-bias,config_scan,8,C08_safe_default,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,9,C09_gap_low,50,1,1,0.0765589261213527,0.0670014127312104,19090.62,15753.9,0.825216781854125,0.4,0,0,0,0.6
config calibration,config_scan,9,C09_gap_low,25,1,1,0.0788148409441511,0.0692573275540087,19623.24,16272,0.829220862609844,0.4,0,0,0,0.6
config validation,config_scan,9,C09_gap_low,25,1,1,0.0743030112985544,0.064745497908412,18558,15235.8,0.820982864532816,0.4,0,0,0,0.6
config zero-bias,config_scan,9,C09_gap_low,50,1,1,0.0765589261213527,0.0670014127312104,19090.62,15753.9,0.825216781854125,0.4,0,0,0,0.6
config all-bias,config_scan,9,C09_gap_low,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,10,C10_easy_top1_window075,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16445.66,0.861452378183632,1,0,0,0,0.66
config calibration,config_scan,10,C10_easy_top1_window075,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,15830.52,0.806723048793166,1,0,0,0,0.52
config validation,config_scan,10,C10_easy_top1_window075,25,1,1,0.0743030112985544,0.0743030112985544,18558,17060.8,0.91932320293135,1,0,0,0,0.8
config zero-bias,config_scan,10,C10_easy_top1_window075,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,16445.66,0.861452378183632,1,0,0,0,0.66
config all-bias,config_scan,10,C10_easy_top1_window075,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,11,C11_default_plus_low_conf,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,19090.62,1,1,0,0,1,1
config calibration,config_scan,11,C11_default_plus_low_conf,25,1,1,0.0788148409441511,0.0788148409441511,19623.24,19623.24,1,1,0,0,1,1
config validation,config_scan,11,C11_default_plus_low_conf,25,1,1,0.0743030112985544,0.0743030112985544,18558,18558,1,1,0,0,1,1
config zero-bias,config_scan,11,C11_default_plus_low_conf,50,1,1,0.0765589261213527,0.0765589261213527,19090.62,19090.62,1,1,0,0,1,1
config all-bias,config_scan,11,C11_default_plus_low_conf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,config_scan,12,C12_balanced_candidate,50,1,1,0.0765589261213527,0.0776562835967033,19090.62,16621.76,0.870676803582073,0.54,0,0,0,0.54
config calibration,config_scan,12,C12_balanced_candidate,25,1,1,0.0788148409441511,0.0800638753469778,19623.24,16741.52,0.853147594382987,0.48,0,0,0,0.52
config validation,config_scan,12,C12_balanced_candidate,25,1,1,0.0743030112985544,0.0752486918464288,18558,16502,0.889212199590473,0.6,0,0,0,0.6
config zero-bias,config_scan,12,C12_balanced_candidate,50,1,1,0.0765589261213527,0.0776562835967033,19090.62,16621.76,0.870676803582073,0.54,0,0,0,0.54
config all-bias,config_scan,12,C12_balanced_candidate,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
config overall,selected_bias,NaN,,350,0.994285714285714,0.994285714285714,0.0532098822951064,0.0495050591957763,18384.9428571429,14378.2457142857,0.782066380407569,0.637142857142857,0,0,0,0.505714285714286
config overall,selected_bias,5,C05_easy_very_aggressive,350,0.994285714285714,0.994285714285714,0.0532098822951064,0.0495050591957763,18384.9428571429,14378.2457142857,0.782066380407569,0.637142857142857,0,0,0,0.505714285714286
config calibration,selected_bias,5,C05_easy_very_aggressive,175,0.988571428571429,0.988571428571429,0.0556812362151077,0.0535641825988293,18635.8285714286,14032.7714285714,0.752999598315994,0.571428571428571,0,0,0,0.571428571428571
config validation,selected_bias,5,C05_easy_very_aggressive,175,1,1,0.0507385283751053,0.0454459357927234,18134.0571428571,14723.72,0.811937443673467,0.702857142857143,0,0,0,0.44
config zero-bias,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0765589261213527,0.0550088138632942,19090.62,13668.3,0.715969413251115,1,0,0,0,0.6
config all-bias,selected_bias,5,C05_easy_very_aggressive,300,0.993333333333333,0.993333333333333,0.0493183749907321,0.04858776675119,18267.33,14496.57,0.793579028790743,0.576666666666667,0,0,0,0.49
selected config per bias case az=-0.20 el=-0.20,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0420277507810634,0.0505497904922335,17932.6,13350.14,0.744462041198711,0.46,0,0,0,0.54
selected config per bias case az=-0.20 el=0.00,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0624526188471318,0.0500148230112586,18917.1,14688.18,0.776449878681193,0.6,0,0,0,0.5
selected config per bias case az=0.00 el=-0.20,selected_bias,5,C05_easy_very_aggressive,50,0.96,0.96,0.0591155231400698,0.0576706637329105,17512.9,11180.6,0.638420821223213,0.2,0,0,0,0.8
selected config per bias case az=0.00 el=0.00,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0765589261213527,0.0550088138632942,19090.62,13668.3,0.715969413251115,1,0,0,0,0.6
selected config per bias case az=0.00 el=0.20,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.040782721893626,0.0455818901517227,18401.4,17063.58,0.927297922984121,1,0,0,0,0.56
selected config per bias case az=0.20 el=0.00,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0624526188471318,0.0517043549690118,17926.2,14112.72,0.787267797971684,0.5,0,0,0,0.5
selected config per bias case az=0.20 el=0.20,selected_bias,5,C05_easy_very_aggressive,50,1,1,0.0290790164353696,0.0360050781500031,18913.78,16584.2,0.876831601086615,0.7,0,0,0,0.58
selected config per scenario easy_noncoherent,selected_bias,5,C05_easy_very_aggressive,70,1,1,0.0496519969331525,0.044624682988216,17279.2285714286,12527.3571428571,0.72499516347456,0.471428571428571,0,0,0,0.671428571428571
selected config per scenario strong_coherent,selected_bias,5,C05_easy_very_aggressive,70,1,1,0.0404757938928188,0.0335342806263846,18279.7142857143,11066.2857142857,0.605386142327951,0.357142857142857,0,0,0,0.857142857142857
selected config per scenario hard_phase,selected_bias,5,C05_easy_very_aggressive,70,1,1,0.0439626164305292,0.0401930783158232,19150.7857142857,11179.4285714286,0.583758219543398,0.5,0,0,0,0.857142857142857
selected config per scenario weak_secondary,selected_bias,5,C05_easy_very_aggressive,70,1,1,0.0654437856112298,0.0640509105259429,18445.5571428571,18307.7714285714,0.99253014082369,0.928571428571429,0,0,0,0.714285714285714
selected config per scenario low_snr_hard,selected_bias,5,C05_easy_very_aggressive,70,0.971428571428571,0.971428571428571,0.0665152186078019,0.065122343522515,18769.4285714286,18810.3857142857,1.00218211986056,0.928571428571429,0,0,0,0.685714285714286
selected config per policy EASY,selected_bias,5,C05_easy_very_aggressive,177,1,1,0.0475617869565015,0.0402358655736453,18246.2824858757,9729,0.533204503850641,0.282485875706215,0,0,1,1
selected config per policy NORMAL,selected_bias,5,C05_easy_very_aggressive,126,0.984126984126984,0.984126984126984,0.060481399573333,0.060481399573333,18580.6349206349,18580.6349206349,1,1,0,0,1,1
selected config per policy SCORE_AMBIGUOUS,selected_bias,5,C05_easy_very_aggressive,47,1,1,0.0549865141648202,0.0549865141648202,18382.5106382979,20621.1276595745,1.1217797212429,1,0,0,1,1
selected config per policy BOUNDARY,selected_bias,5,C05_easy_very_aggressive,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
selected config per policy ILL_CONDITIONED,selected_bias,5,C05_easy_very_aggressive,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
