keypoint,value
stage2_selected_config_name,C05_easy_very_aggressive
stage2_adaptive_pass_flag,1
stage3_required_enhancement_pass_flag,1
metkl30_num_seed_groups,3
metkl30_metkl_per_seed,30
metkl30_total_trials,450
metkl30_min_adaptive_success,1
metkl30_max_adaptive_rmse,0.0550088138633
metkl30_max_pair_count_ratio,0.715079432344
metkl30_min_full_grid_match_rate,1
metkl30_max_topK_miss_rate,0
metkl30_max_boundary_hit_rate,0
metkl30_max_policy_degeneracy_flag,0
metkl30_repeat_pass_flag,1
metkl30_failed_seed_group_text,
illcond_total_cases,12
illcond_total_trials,120
illcond_real_trigger_count,0
illcond_real_trigger_rate,0
illcond_max_cond_risk,0.225446533226
illcond_max_cond_best_GHG,63.6168653336
illcond_high_confidence_misuse_rate,0
illcond_pair_count_ratio_overall,1.08628608143
illcond_real_stress_pass_flag,0
illcond_guard_probe_pass_flag,1
illcond_real_stress_result_text,ill_conditioned_real_stress_not_naturally_triggered_under_current_fixed_C05_and_grid
illcond_pair_count_ratio_note,ill_conditioned_stress_pair_count_ratio_within_1p2
stage3_supplementary_pass_flag,0
stage3_supplementary_recommendation,keep_step11_5_stage2_c05_as_positive_adaptive_enhancement_with_metkl30_recheck_and_guard_probe_keep_illcond_real_trigger_as_boundary_future_work
