summary_scope,scenario_name,policy_name,fail_reason,seed_group_id,base_seed,n_trials,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_mean_num_pairs,adaptive_mean_num_pairs,adaptive_vs_fixed_pair_count_ratio,adaptive_full_grid_match_rate,adaptive_topK_miss_rate,adaptive_boundary_hit_rate,max_policy_rate,policy_degeneracy_flag,easy_policy_rate,normal_policy_rate,score_ambiguous_policy_rate,boundary_policy_rate,ill_conditioned_policy_rate,metkl30_pass_flag
seed_group,,,,1,20260609,150,1,1,1,0.0765589261213527,0.0550088138632942,0.0765589261213525,19150.02,13668.3,0.713748601829136,1,0,0,0.6,0,0.6,0.4,0,0,0,1
seed_group,,,,2,20260610,150,1,1,1,0.0765589261213527,0.0550088138632942,0.0765589261213525,19114.38,13668.3,0.715079432343607,1,0,0,0.6,0,0.6,0.4,0,0,0,1
seed_group,,,,3,20260611,150,1,1,1,0.0765589261213527,0.0550088138632942,0.0765589261213525,19150.02,13668.3,0.713748601829136,1,0,0,0.6,0,0.6,0.4,0,0,0,1
overall,,,,NaN,NaN,450,1,1,1,0.0765589261213527,0.0550088138632941,0.0765589261213525,19138.14,13668.3,0.714191661258618,1,0,0,0.6,0,0.6,0.4,0,0,0,1
scenario,easy_noncoherent,,,NaN,NaN,90,1,1,1,0.0595818764390646,0.0282488937836507,0.0595818764390634,17764.2,9729,0.547674536427196,1,0,0,1,1,1,0,0,0,0,NaN
scenario,strong_coherent,,,NaN,NaN,90,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,0.486498649864986,1,0,0,1,1,1,0,0,0,0,NaN
scenario,hard_phase,,,NaN,NaN,90,1,1,1,0.0561248608016083,0.0199499373432595,0.0561248608016083,18774,9729,0.518216682646213,1,0,0,1,1,1,0,0,0,0,NaN
scenario,weak_secondary,,,NaN,NaN,90,1,1,1,0.106386995455045,0.106386995455045,0.106386995455045,18513,18513,1,1,0,0,1,1,0,1,0,0,0,NaN
scenario,low_snr_hard,,,NaN,NaN,90,1,1,1,0.106386995455045,0.106386995455045,0.106386995455045,20641.5,20641.5,1,1,0,0,1,1,0,1,0,0,0,NaN
policy,,EASY,,NaN,NaN,270,1,1,1,0.0566735465655577,0.0207566928021268,0.0566735465655573,18845.4,9729,0.516253303193352,1,0,0,1,1,1,0,0,0,0,NaN
policy,,NORMAL,,NaN,NaN,180,1,1,1,0.106386995455045,0.106386995455045,0.106386995455045,19577.25,19577.25,1,1,0,0,1,1,0,1,0,0,0,NaN
policy,,SCORE_AMBIGUOUS,empty_subset,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
policy,,BOUNDARY,empty_subset,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
policy,,ILL_CONDITIONED,empty_subset,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
