config_name,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,seed_group_id,base_seed,trial_id,seed,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,1,5,1,20260609,1,20261610,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.998794894423609,0.00215915355099231,0.00495684570359313,0,0.014161674087216,0.207183397285,0.423189168987375,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,2,5,1,20260609,2,20261611,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.994521830748555,0.00278809133977975,0.0089733766040886,0,0.0166354136958332,0.0709135430477208,0.369900549204307,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,3,5,1,20260609,3,20261612,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.9981135281876,0.00268636891719344,0.00629809182188517,0,0.014161674087216,0.092953401274754,0.379016076954677,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,4,5,1,20260609,4,20261613,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.996350816918643,0.00296438871797075,0.00677633708861269,0,0.0166354136958332,0.0327157777730036,0.355849246181254,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,5,5,1,20260609,5,20261614,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.997461252501922,0.00276745818593987,0.00730472149604008,0,0.014161674087216,0.0753840597130278,0.372030341402487,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,6,5,1,20260609,6,20261615,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.996262642486118,0.00293262441158553,0.00692396445727343,0,0.0166354136958332,0.0395980441564684,0.358465410661972,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,7,5,1,20260609,7,20261616,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.99737310063942,0.00280501488501029,0.0074246571512089,0,0.014161674087216,0.0672467749144363,0.368869763328077,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,8,5,1,20260609,8,20261617,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.99649624508818,0.0030190814075422,0.00648328987192784,0,0.0166354136958332,0.025,0.352932539204821,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,9,5,1,20260609,9,20261618,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.997999331854927,0.00273820908980605,0.00648865912396709,0,0.014161674087216,0.0817213638753553,0.374656093853858,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,10,5,1,20260609,10,20261619,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.995904081222877,0.00281907326456234,0.00745502105077039,0,0.0166354136958332,0.0642007926781607,0.367802509805104,1,0.6,0.6
