center_az,actual_center_az,selected_center_column,scenario_name,trial_id,seed,method_name,true_orientation,source_corr_empirical,direct_success,cached_success,direct_rmse,cached_rmse,direct_num_pairs,cached_num_pairs,same_estimate_flag,same_score_flag,max_abs_score_diff,relative_score_diff,az_diff_max,el_diff_max,direct_policy_name,cached_policy_name,same_policy_flag,direct_topK_miss,cached_topK_miss,direct_boundary_hit,cached_boundary_hit,cache_miss_count,direct_az_hat_1,direct_az_hat_2,cached_az_hat_1,cached_az_hat_2,direct_el_hat_1,direct_el_hat_2,cached_el_hat_1,cached_el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,direct_score,cached_score,pass_flag
0,0,1,easy_noncoherent,1,20361610,fixed_topK3,1,0.0689746340530481,1,1,0.0595818764390646,0.0595818764390646,18612,18612,1,1,0,0,0,0,FIXED_TOPK3,FIXED_TOPK3,1,0,0,0,0,0,-0.62,0.66,-0.62,0.66,10,10.72,10,10.72,-0.635,0.635,9.975,10.645,216391.478454406,216391.478454406,1
0,0,1,easy_noncoherent,1,20361610,c05_adaptive,1,0.0689746340530481,1,1,0.0373898381916808,0.0373898381916808,9729,9729,1,1,0,0,0,0,EASY,EASY,1,0,0,0,0,0,-0.652,0.628,-0.652,0.628,10.012,10.612,10.012,10.612,-0.635,0.635,9.975,10.645,216589.664587449,216589.664587449,1
0,0,1,easy_noncoherent,2,20361611,fixed_topK3,-1,0.188759428834411,1,1,0.0595818764390646,0.0595818764390646,17154,17154,1,1,0,0,0,0,FIXED_TOPK3,FIXED_TOPK3,1,0,0,0,0,0,-0.62,0.66,-0.62,0.66,10.72,10,10.72,10,-0.635,0.635,10.645,9.975,191462.028246826,191462.028246826,1
0,0,1,easy_noncoherent,2,20361611,c05_adaptive,-1,0.188759428834411,1,1,0.0282488937836506,0.0282488937836506,9729,9729,1,1,0,0,0,0,EASY,EASY,1,0,0,0,0,0,-0.652,0.628,-0.652,0.628,10.672,9.952,10.672,9.952,-0.635,0.635,10.645,9.975,191592.136213101,191592.136213101,1
0,0,1,easy_noncoherent,3,20361612,fixed_topK3,1,0.010531292613259,1,1,0.0595818764390646,0.0595818764390646,18612,18612,1,1,0,0,0,0,FIXED_TOPK3,FIXED_TOPK3,1,0,0,0,0,0,-0.62,0.66,-0.62,0.66,10,10.72,10,10.72,-0.635,0.635,9.975,10.645,215259.45928446,215259.45928446,1
0,0,1,easy_noncoherent,3,20361612,c05_adaptive,1,0.010531292613259,1,1,0.0373898381916808,0.0373898381916808,9729,9729,1,1,0,0,0,0,EASY,EASY,1,0,0,0,0,0,-0.652,0.628,-0.652,0.628,10.012,10.612,10.012,10.612,-0.635,0.635,9.975,10.645,215446.063340362,215446.063340362,1
0,0,1,easy_noncoherent,4,20361613,fixed_topK3,-1,0.0856736825645262,1,1,0.0595818764390646,0.0595818764390646,17154,17154,1,1,0,0,0,0,FIXED_TOPK3,FIXED_TOPK3,1,0,0,0,0,0,-0.62,0.66,-0.62,0.66,10.72,10,10.72,10,-0.635,0.635,10.645,9.975,188715.228958581,188715.228958581,1
0,0,1,easy_noncoherent,4,20361613,c05_adaptive,-1,0.0856736825645262,1,1,0.0282488937836506,0.0282488937836506,9729,9729,1,1,0,0,0,0,EASY,EASY,1,0,0,0,0,0,-0.652,0.628,-0.652,0.628,10.672,9.952,10.672,9.952,-0.635,0.635,10.645,9.975,188828.49769423,188828.49769423,1
0,0,1,easy_noncoherent,5,20361614,fixed_topK3,1,0.0907775235955427,1,1,0.0595818764390646,0.0595818764390646,18612,18612,1,1,0,0,0,0,FIXED_TOPK3,FIXED_TOPK3,1,0,0,0,0,0,-0.62,0.66,-0.62,0.66,10,10.72,10,10.72,-0.635,0.635,9.975,10.645,216173.462222442,216173.462222442,1
0,0,1,easy_noncoherent,5,20361614,c05_adaptive,1,0.0907775235955427,1,1,0.0373898381916808,0.0373898381916808,9729,9729,1,1,0,0,0,0,EASY,EASY,1,0,0,0,0,0,-0.652,0.628,-0.652,0.628,10.012,10.612,10.012,10.612,-0.635,0.635,9.975,10.645,216364.364191162,216364.364191162,1
