keypoint,value
interface_smoke_pass_flag,1
cached_direct_consistency_pass_flag,1
frontend_prior_bias_recheck_pass_flag,1
cache_fallback_behavior_pass_flag,1
runtime_packaging_pass_flag,1
same_estimate_rate,1
same_policy_rate,1
same_score_rate,1
max_score_diff_rel,8.15297727181e-16
cache_miss_count,0
fallback_expected_case_pass_rate,1
frontend_bias_max_topK_miss_rate,0
frontend_bias_max_boundary_hit_rate,0
frontend_bias_max_success_drop,0
median_runtime_reduction_ratio,0.61840349117
final_backend_output_fields_pass_flag,1
step11_7_overall_pass_flag,1
step11_7_recommendation,use_step11_7_cached_c05_backend_as_final_step11_beamspace_ml_route
