obs_global_index,obs_id,chunk_id_assigned,total_chunks,run_tag,center_index,center_az,scenario_name,scenario_index,trial_id,planned_flag,completed_flag
1,cp00p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,1,0,easy_noncoherent,1,1,1,0
2,cp00p00_easy_noncoherent_t0002,2,2,chunk_pilot_tps3,1,0,easy_noncoherent,1,2,0,0
3,cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,1,0,easy_noncoherent,1,3,1,0
4,cp00p00_strong_coherent_t0001,2,2,chunk_pilot_tps3,1,0,strong_coherent,2,1,0,0
5,cp00p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,1,0,strong_coherent,2,2,1,0
6,cp00p00_strong_coherent_t0003,2,2,chunk_pilot_tps3,1,0,strong_coherent,2,3,0,0
7,cp00p00_hard_phase_t0001,1,2,chunk_pilot_tps3,1,0,hard_phase,3,1,1,0
8,cp00p00_hard_phase_t0002,2,2,chunk_pilot_tps3,1,0,hard_phase,3,2,0,0
9,cp00p00_hard_phase_t0003,1,2,chunk_pilot_tps3,1,0,hard_phase,3,3,1,0
10,cp00p00_weak_secondary_t0001,2,2,chunk_pilot_tps3,1,0,weak_secondary,4,1,0,0
11,cp00p00_weak_secondary_t0002,1,2,chunk_pilot_tps3,1,0,weak_secondary,4,2,1,0
12,cp00p00_weak_secondary_t0003,2,2,chunk_pilot_tps3,1,0,weak_secondary,4,3,0,0
13,cp00p00_low_snr_hard_t0001,1,2,chunk_pilot_tps3,1,0,low_snr_hard,5,1,1,0
14,cp00p00_low_snr_hard_t0002,2,2,chunk_pilot_tps3,1,0,low_snr_hard,5,2,0,0
15,cp00p00_low_snr_hard_t0003,1,2,chunk_pilot_tps3,1,0,low_snr_hard,5,3,1,0
16,cp00p00_near_tie_close_sep_t0001,2,2,chunk_pilot_tps3,1,0,near_tie_close_sep,6,1,0,0
17,cp00p00_near_tie_close_sep_t0002,1,2,chunk_pilot_tps3,1,0,near_tie_close_sep,6,2,1,0
18,cp00p00_near_tie_close_sep_t0003,2,2,chunk_pilot_tps3,1,0,near_tie_close_sep,6,3,0,0
19,cp00p00_medium_beta_coherent_t0001,1,2,chunk_pilot_tps3,1,0,medium_beta_coherent,7,1,1,0
20,cp00p00_medium_beta_coherent_t0002,2,2,chunk_pilot_tps3,1,0,medium_beta_coherent,7,2,0,0
21,cp00p00_medium_beta_coherent_t0003,1,2,chunk_pilot_tps3,1,0,medium_beta_coherent,7,3,1,0
22,cp00p00_large_el_pair_t0001,2,2,chunk_pilot_tps3,1,0,large_el_pair,8,1,0,0
23,cp00p00_large_el_pair_t0002,1,2,chunk_pilot_tps3,1,0,large_el_pair,8,2,1,0
24,cp00p00_large_el_pair_t0003,2,2,chunk_pilot_tps3,1,0,large_el_pair,8,3,0,0
25,cp00p00_cache_boundary_center_t0001,1,2,chunk_pilot_tps3,1,0,cache_boundary_center,9,1,1,0
26,cp00p00_cache_boundary_center_t0002,2,2,chunk_pilot_tps3,1,0,cache_boundary_center,9,2,0,0
27,cp00p00_cache_boundary_center_t0003,1,2,chunk_pilot_tps3,1,0,cache_boundary_center,9,3,1,0
28,cp00p00_low_margin_score_gap_t0001,2,2,chunk_pilot_tps3,1,0,low_margin_score_gap,10,1,0,0
29,cp00p00_low_margin_score_gap_t0002,1,2,chunk_pilot_tps3,1,0,low_margin_score_gap,10,2,1,0
30,cp00p00_low_margin_score_gap_t0003,2,2,chunk_pilot_tps3,1,0,low_margin_score_gap,10,3,0,0
31,cp04p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,2,4,easy_noncoherent,1,1,1,0
32,cp04p00_easy_noncoherent_t0002,2,2,chunk_pilot_tps3,2,4,easy_noncoherent,1,2,0,0
33,cp04p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,2,4,easy_noncoherent,1,3,1,0
34,cp04p00_strong_coherent_t0001,2,2,chunk_pilot_tps3,2,4,strong_coherent,2,1,0,0
35,cp04p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,2,4,strong_coherent,2,2,1,0
36,cp04p00_strong_coherent_t0003,2,2,chunk_pilot_tps3,2,4,strong_coherent,2,3,0,0
37,cp04p00_hard_phase_t0001,1,2,chunk_pilot_tps3,2,4,hard_phase,3,1,1,0
38,cp04p00_hard_phase_t0002,2,2,chunk_pilot_tps3,2,4,hard_phase,3,2,0,0
39,cp04p00_hard_phase_t0003,1,2,chunk_pilot_tps3,2,4,hard_phase,3,3,1,0
40,cp04p00_weak_secondary_t0001,2,2,chunk_pilot_tps3,2,4,weak_secondary,4,1,0,0
41,cp04p00_weak_secondary_t0002,1,2,chunk_pilot_tps3,2,4,weak_secondary,4,2,1,0
42,cp04p00_weak_secondary_t0003,2,2,chunk_pilot_tps3,2,4,weak_secondary,4,3,0,0
43,cp04p00_low_snr_hard_t0001,1,2,chunk_pilot_tps3,2,4,low_snr_hard,5,1,1,0
44,cp04p00_low_snr_hard_t0002,2,2,chunk_pilot_tps3,2,4,low_snr_hard,5,2,0,0
45,cp04p00_low_snr_hard_t0003,1,2,chunk_pilot_tps3,2,4,low_snr_hard,5,3,1,0
46,cp04p00_near_tie_close_sep_t0001,2,2,chunk_pilot_tps3,2,4,near_tie_close_sep,6,1,0,0
47,cp04p00_near_tie_close_sep_t0002,1,2,chunk_pilot_tps3,2,4,near_tie_close_sep,6,2,1,0
48,cp04p00_near_tie_close_sep_t0003,2,2,chunk_pilot_tps3,2,4,near_tie_close_sep,6,3,0,0
49,cp04p00_medium_beta_coherent_t0001,1,2,chunk_pilot_tps3,2,4,medium_beta_coherent,7,1,1,0
50,cp04p00_medium_beta_coherent_t0002,2,2,chunk_pilot_tps3,2,4,medium_beta_coherent,7,2,0,0
51,cp04p00_medium_beta_coherent_t0003,1,2,chunk_pilot_tps3,2,4,medium_beta_coherent,7,3,1,0
52,cp04p00_large_el_pair_t0001,2,2,chunk_pilot_tps3,2,4,large_el_pair,8,1,0,0
53,cp04p00_large_el_pair_t0002,1,2,chunk_pilot_tps3,2,4,large_el_pair,8,2,1,0
54,cp04p00_large_el_pair_t0003,2,2,chunk_pilot_tps3,2,4,large_el_pair,8,3,0,0
55,cp04p00_cache_boundary_center_t0001,1,2,chunk_pilot_tps3,2,4,cache_boundary_center,9,1,1,0
56,cp04p00_cache_boundary_center_t0002,2,2,chunk_pilot_tps3,2,4,cache_boundary_center,9,2,0,0
57,cp04p00_cache_boundary_center_t0003,1,2,chunk_pilot_tps3,2,4,cache_boundary_center,9,3,1,0
