object,row,col,real_value,imag_value
Rz,1,1,127446.930203801,0
Rz,2,1,46740.8028386755,34282.3843179532
Rz,3,1,13009.4027748149,6646.19249087527
Rz,4,1,6432.29221752365,-662.606195161887
Rz,5,1,-8030.39875586516,-15590.2138717848
Rz,6,1,-10246.7179529858,3745.32860901825
Rz,7,1,-2939.71202440692,4884.06383795856
Rz,1,2,46740.8028386755,-34282.3843179532
Rz,2,2,28984.5885214812,0
Rz,3,2,6689.00596983719,-1488.30774045018
Rz,4,2,2354.90846436355,-2006.41464590063
Rz,5,2,-7209.61969715731,-3884.52559065385
Rz,6,2,-3135.65433745585,4356.00560932853
Rz,7,2,131.311887391012,2656.48673171419
Rz,1,3,13009.4027748149,-6646.19249087527
Rz,2,3,6689.00596983719,1488.30774045018
Rz,3,3,1750.61246517606,0
Rz,4,3,636.049076203251,-376.387909085378
Rz,5,3,-1583.03522140389,-1200.37266121444
Rz,6,3,-906.557945229857,865.233366529921
Rz,7,3,-62.6705467416317,638.586283792548
Rz,1,4,6432.29221752365,662.606195161887
Rz,2,4,2354.90846436355,2006.41464590063
Rz,3,4,636.049076203251,376.387909085378
Rz,4,4,340.289674162198,0
Rz,5,4,-324.792957149722,-851.210356919612
Rz,6,4,-565.083228002,145.912225674335
Rz,7,4,-181.676217681559,234.866419897911
Rz,1,5,-8030.39875586516,15590.2138717848
Rz,2,5,-7209.61969715731,3884.52559065385
Rz,3,5,-1583.03522140389,1200.37266121444
Rz,4,5,-324.792957149722,851.210356919612
Rz,5,5,2456.01694644005,0
Rz,6,5,169.673858426798,-1543.65532876042
Rz,7,5,-418.684830813548,-682.326527203253
Rz,1,6,-10246.7179529858,-3745.32860901825
Rz,2,6,-3135.65433745585,-4356.00560932853
Rz,3,6,-906.557945229857,-865.233366529921
Rz,4,6,-565.083228002,-145.912225674335
Rz,5,6,169.673858426798,1543.65532876042
Rz,6,6,1010.26440633492,0
Rz,7,6,401.638442099824,-308.202354230482
Rz,1,7,-2939.71202440692,-4884.06383795856
Rz,2,7,131.311887391012,-2656.48673171419
Rz,3,7,-62.6705467416317,-638.586283792548
Rz,4,7,-181.676217681559,-234.866419897911
Rz,5,7,-418.684830813548,682.326527203253
Rz,6,7,401.638442099824,308.202354230482
Rz,7,7,261.514696015444,0
