rank,candidate_index,candidate_id,score,score_source
1,4385,p_+3.370000_+10.060000__+4.170000_+10.420000__sep_+0.360000,161985.337671223,baseline
2,4384,p_+3.370000_+10.060000__+4.010000_+10.420000__sep_+0.360000,161517.962390376,baseline
3,5582,p_+3.370000_+10.120000__+4.170000_+10.840000__sep_+0.720000,161470.740020724,baseline
4,4386,p_+3.370000_+10.060000__+4.330000_+10.420000__sep_+0.360000,161465.756161368,baseline
5,5240,p_+3.370000_+10.300000__+4.170000_+10.660000__sep_+0.360000,161172.33673751,baseline
6,5581,p_+3.370000_+10.120000__+4.010000_+10.840000__sep_+0.720000,160978.766730581,baseline
7,5583,p_+3.370000_+10.120000__+4.330000_+10.840000__sep_+0.720000,160960.235658535,baseline
8,4214,p_+3.370000_+10.240000__+4.170000_+10.240000__sep_+0.000000,160914.400851569,baseline
9,5241,p_+3.370000_+10.300000__+4.330000_+10.660000__sep_+0.360000,160830.947277577,baseline
10,4374,p_+3.210000_+10.060000__+4.170000_+10.420000__sep_+0.360000,160737.997756854,baseline
