rank,candidate_index,candidate_id,score
1,4717,p_+14.460000_+9.880000__+15.580000_+10.600000__sep_+0.720000,214854.766291705
2,5560,p_+14.300000_+10.120000__+15.580000_+10.840000__sep_+0.720000,214416.071475857
3,4705,p_+14.300000_+9.880000__+15.580000_+10.600000__sep_+0.720000,214235.955983405
4,4718,p_+14.460000_+9.880000__+15.740000_+10.600000__sep_+0.720000,213759.475266846
5,4363,p_+14.300000_+10.060000__+15.580000_+10.420000__sep_+0.360000,213685.990140766
6,4706,p_+14.300000_+9.880000__+15.740000_+10.600000__sep_+0.720000,213298.040196537
7,5561,p_+14.300000_+10.120000__+15.740000_+10.840000__sep_+0.720000,213142.096729456
8,4364,p_+14.300000_+10.060000__+15.740000_+10.420000__sep_+0.360000,212947.502980819
9,5572,p_+14.460000_+10.120000__+15.580000_+10.840000__sep_+0.720000,212905.00956424
10,4375,p_+14.460000_+10.060000__+15.580000_+10.420000__sep_+0.360000,212893.104226609
