candidate_index,candidate_id,score_baseline,score_fixed,score_abs_diff,score_rel_diff
4717,p_-0.540000_+9.880000__+0.580000_+10.600000__sep_+0.720000,215074.535553852,215074.619079526,0.0835256738646422,3.88356871953948e-07
5560,p_-0.700000_+10.120000__+0.580000_+10.840000__sep_+0.720000,214601.226171079,214601.273789009,0.0476179301622324,2.21890298633577e-07
4705,p_-0.700000_+9.880000__+0.580000_+10.600000__sep_+0.720000,214415.489635184,214415.571268198,0.0816330139059573,3.80723491781547e-07
4718,p_-0.540000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213932.662224143,213932.713947415,0.0517232710553799,2.4177360538424e-07
4363,p_-0.700000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213890.541951079,213890.614880844,0.072929764399305,3.40967691857947e-07
4706,p_-0.700000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213545.497814272,213545.566623896,0.0688096240919549,3.22224653744754e-07
5561,p_-0.700000_+10.120000__+0.740000_+10.840000__sep_+0.720000,213354.406398926,213354.454296114,0.0478971881675534,2.24495893832144e-07
4364,p_-0.700000_+10.060000__+0.740000_+10.420000__sep_+0.360000,213193.271690467,213193.313837285,0.0421468181884848,1.97693003415592e-07
4375,p_-0.540000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213149.324891663,213149.420048022,0.0951563590497244,4.4643049701466e-07
5572,p_-0.540000_+10.120000__+0.580000_+10.840000__sep_+0.720000,213107.333168133,213107.397898138,0.0647300056298263,3.03743680086114e-07
5218,p_-0.700000_+10.300000__+0.580000_+10.660000__sep_+0.360000,212067.959822352,212067.997070625,0.0372482733509969,1.75643097534392e-07
4376,p_-0.540000_+10.060000__+0.740000_+10.420000__sep_+0.360000,212034.964191426,212035.025450887,0.0612594613339752,2.88912074325016e-07
5573,p_-0.540000_+10.120000__+0.740000_+10.840000__sep_+0.720000,211753.566527173,211753.612932811,0.0464056387427263,2.19149266308917e-07
5219,p_-0.700000_+10.300000__+0.740000_+10.660000__sep_+0.360000,211005.197775639,211005.239209223,0.0414335833629593,1.96362856459183e-07
5230,p_-0.540000_+10.300000__+0.580000_+10.660000__sep_+0.360000,210574.541334889,210574.608318771,0.0669838816102128,3.18100569924473e-07
4716,p_-0.540000_+9.880000__+0.420000_+10.600000__sep_+0.720000,210498.292202583,210498.409521056,0.117318472621264,5.57336933205885e-07
5571,p_-0.540000_+10.120000__+0.420000_+10.840000__sep_+0.720000,210109.893596292,210109.980252757,0.0866564651078079,4.12434005960284e-07
5559,p_-0.700000_+10.120000__+0.420000_+10.840000__sep_+0.720000,209994.440120932,209994.502666987,0.0625460555893369,2.97846245611636e-07
5231,p_-0.540000_+10.300000__+0.740000_+10.660000__sep_+0.360000,209329.416086994,209329.45535409,0.0392670953879133,1.87585176139767e-07
4728,p_-0.380000_+9.880000__+0.580000_+10.600000__sep_+0.720000,208997.25845715,208997.354739418,0.0962822682631668,4.60686752419325e-07
4374,p_-0.540000_+10.060000__+0.420000_+10.420000__sep_+0.360000,208929.331228218,208929.437304981,0.106076762545854,5.07715991442024e-07
6415,p_-0.700000_+10.360000__+0.580000_+11.080000__sep_+0.720000,208400.870056651,208400.891472243,0.0214155925787054,1.02761531527598e-07
4704,p_-0.700000_+9.880000__+0.420000_+10.600000__sep_+0.720000,208069.860377404,208069.944607874,0.084230470150942,4.04818218256898e-07
4362,p_-0.700000_+10.060000__+0.420000_+10.420000__sep_+0.360000,207500.058578237,207500.14579212,0.0872138825943694,4.20307749269794e-07
4192,p_-0.700000_+10.240000__+0.580000_+10.240000__sep_+0.000000,207497.131775793,207497.197319126,0.0655433337378781,3.15875854171805e-07
5229,p_-0.540000_+10.300000__+0.420000_+10.660000__sep_+0.360000,207454.656308285,207454.739308017,0.0829997325490694,4.00086139429568e-07
6416,p_-0.700000_+10.360000__+0.740000_+11.080000__sep_+0.720000,207320.241826972,207320.26330061,0.0214736372290645,1.03577137667948e-07
4386,p_-0.380000_+10.060000__+0.580000_+10.420000__sep_+0.360000,207281.839614959,207281.933151692,0.0935367327183485,4.51253871984636e-07
5217,p_-0.700000_+10.300000__+0.420000_+10.660000__sep_+0.360000,207070.827312159,207070.873763135,0.0464509761659428,2.24324096102239e-07
3862,p_-0.540000_+9.640000__+0.580000_+10.360000__sep_+0.720000,206955.527918442,206955.626927425,0.0990089830302168,4.78407047282325e-07
3863,p_-0.540000_+9.640000__+0.740000_+10.360000__sep_+0.720000,206932.102907103,206932.167337954,0.0644308507326059,3.11362276937429e-07
4729,p_-0.380000_+9.880000__+0.740000_+10.600000__sep_+0.720000,206928.755375791,206928.834281526,0.0789057345245965,3.81318364290648e-07
2940,p_-1.340000_+9.400000__+1.060000_+10.120000__sep_+0.720000,99108.0691842121,99108.3559593391,0.286775126965949,2.89355982137964e-06
3795,p_-1.340000_+9.640000__+1.060000_+10.360000__sep_+0.720000,114092.570659523,114092.85465779,0.283998266269919,2.48919158038283e-06
4633,p_-1.500000_+9.880000__+1.060000_+10.600000__sep_+0.720000,110777.926806686,110778.206957184,0.2801504979725,2.52893790349931e-06
4634,p_-1.500000_+9.880000__+1.220000_+10.600000__sep_+0.720000,94465.3084388805,94465.5878278987,0.279389018207439,2.95758329512262e-06
2941,p_-1.340000_+9.400000__+1.220000_+10.120000__sep_+0.720000,78492.8974000242,78493.171204294,0.273804269832908,3.48826809688928e-06
2052,p_+1.220000_+9.700000__+1.380000_+9.340000__sep_+0.360000,106251.232748615,106251.506106112,0.273357496684184,2.57274658950013e-06
3796,p_-1.340000_+9.640000__+1.220000_+10.360000__sep_+0.720000,95365.3188436134,95365.5899800496,0.271136436233064,2.84313458520169e-06
4652,p_-1.340000_+9.880000__+1.380000_+10.600000__sep_+0.720000,86079.0135899908,86079.2845503009,0.27096031011024,3.1478091907613e-06
4651,p_-1.340000_+9.880000__+1.220000_+10.600000__sep_+0.720000,107563.049644813,107563.320199346,0.270554533752147,2.51531110958228e-06
3797,p_-1.340000_+9.640000__+1.380000_+10.360000__sep_+0.720000,71411.0282382935,71411.2980179986,0.269779705020483,3.77784372632539e-06
3778,p_-1.500000_+9.640000__+1.060000_+10.360000__sep_+0.720000,103727.704702901,103727.972168055,0.267465153694502,2.5785314970632e-06
3436,p_-1.500000_+9.820000__+1.060000_+10.180000__sep_+0.360000,98046.1258550287,98046.3929037002,0.267048671463272,2.72370447209848e-06
2923,p_-1.500000_+9.400000__+1.060000_+10.120000__sep_+0.720000,91077.0126366484,91077.2795802415,0.266943593131145,2.93096562352255e-06
3813,p_-1.180000_+9.640000__+1.380000_+10.360000__sep_+0.720000,88410.0076705025,88410.2703824223,0.262711919771391,2.97151789365858e-06
4650,p_-1.340000_+9.880000__+1.060000_+10.600000__sep_+0.720000,122705.338563601,122705.600661303,0.262097701721359,2.13599265353486e-06
4291,p_-1.500000_+10.060000__+1.060000_+10.420000__sep_+0.360000,107698.869558745,107699.129429325,0.259870580324787,2.41293693600971e-06
4635,p_-1.500000_+9.880000__+1.380000_+10.600000__sep_+0.720000,70371.3838296775,70371.6408015293,0.256971851747949,3.65165267134589e-06
2924,p_-1.500000_+9.400000__+1.220000_+10.120000__sep_+0.720000,69093.2864179191,69093.5418560054,0.25543808627117,3.69700298703584e-06
5507,p_-1.340000_+10.120000__+1.380000_+10.840000__sep_+0.720000,96314.4868908552,96314.7418950606,0.25500420537719,2.64762045263413e-06
3779,p_-1.500000_+9.640000__+1.220000_+10.360000__sep_+0.720000,83599.0573076384,83599.3110958638,0.25378822539642,3.03577855504396e-06
3437,p_-1.500000_+9.820000__+1.220000_+10.180000__sep_+0.360000,77212.7930014045,77213.0467860179,0.253784613392781,3.28682079131842e-06
3454,p_-1.340000_+9.820000__+1.220000_+10.180000__sep_+0.360000,91040.7729607758,91041.026181867,0.253221091144951,2.78140313301217e-06
2957,p_-1.180000_+9.400000__+1.220000_+10.120000__sep_+0.720000,90363.7276513168,90363.9798658299,0.252214513064246,2.79110346175023e-06
4668,p_-1.180000_+9.880000__+1.380000_+10.600000__sep_+0.720000,104821.347085985,104821.599259757,0.252173771921662,2.40574824624992e-06
4667,p_-1.180000_+9.880000__+1.220000_+10.600000__sep_+0.720000,124479.842640284,124480.094264485,0.251624201497179,2.02140520232108e-06
2922,p_-1.500000_+9.400000__+0.900000_+10.120000__sep_+0.720000,105082.557279323,105082.808328102,0.251048778605764,2.38906232495317e-06
3794,p_-1.340000_+9.640000__+0.900000_+10.360000__sep_+0.720000,125826.603201443,125826.854172419,0.250970975903329,1.99457801067343e-06
4308,p_-1.340000_+10.060000__+1.060000_+10.420000__sep_+0.360000,119828.434909337,119828.685825229,0.250915891941986,2.09395951913944e-06
3453,p_-1.340000_+9.820000__+1.060000_+10.180000__sep_+0.360000,109816.65139277,109816.90220566,0.250812889891677,2.2839240380279e-06
3812,p_-1.180000_+9.640000__+1.220000_+10.360000__sep_+0.720000,110316.276916577,110316.527364163,0.250447586600785,2.27026866389062e-06
3470,p_-1.180000_+9.820000__+1.220000_+10.180000__sep_+0.360000,108172.660287762,108172.910581067,0.25029330511461,2.3138314658138e-06
3777,p_-1.500000_+9.640000__+0.900000_+10.360000__sep_+0.720000,115508.692601623,115508.942139418,0.249537794661592,2.16033779831808e-06
