candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
4717,6.96,8.08,9.88,10.6,10.24,0.72,1,7,14,18,30,p_+6.960000_+9.880000__+8.080000_+10.600000__sep_+0.720000
5560,6.8,8.08,10.12,10.84,10.48,0.72,1,6,14,22,34,p_+6.800000_+10.120000__+8.080000_+10.840000__sep_+0.720000
4705,6.8,8.08,9.88,10.6,10.24,0.72,1,6,14,18,30,p_+6.800000_+9.880000__+8.080000_+10.600000__sep_+0.720000
4718,6.96,8.24,9.88,10.6,10.24,0.72,1,7,15,18,30,p_+6.960000_+9.880000__+8.240000_+10.600000__sep_+0.720000
4363,6.8,8.08,10.06,10.42,10.24,0.36,1,6,14,21,27,p_+6.800000_+10.060000__+8.080000_+10.420000__sep_+0.360000
5561,6.8,8.24,10.12,10.84,10.48,0.72,1,6,15,22,34,p_+6.800000_+10.120000__+8.240000_+10.840000__sep_+0.720000
5572,6.96,8.08,10.12,10.84,10.48,0.72,1,7,14,22,34,p_+6.960000_+10.120000__+8.080000_+10.840000__sep_+0.720000
4706,6.8,8.24,9.88,10.6,10.24,0.72,1,6,15,18,30,p_+6.800000_+9.880000__+8.240000_+10.600000__sep_+0.720000
4364,6.8,8.24,10.06,10.42,10.24,0.36,1,6,15,21,27,p_+6.800000_+10.060000__+8.240000_+10.420000__sep_+0.360000
5573,6.96,8.24,10.12,10.84,10.48,0.72,1,7,15,22,34,p_+6.960000_+10.120000__+8.240000_+10.840000__sep_+0.720000
4375,6.96,8.08,10.06,10.42,10.24,0.36,1,7,14,21,27,p_+6.960000_+10.060000__+8.080000_+10.420000__sep_+0.360000
4376,6.96,8.24,10.06,10.42,10.24,0.36,1,7,15,21,27,p_+6.960000_+10.060000__+8.240000_+10.420000__sep_+0.360000
5218,6.8,8.08,10.3,10.66,10.48,0.36,1,6,14,25,31,p_+6.800000_+10.300000__+8.080000_+10.660000__sep_+0.360000
5219,6.8,8.24,10.3,10.66,10.48,0.36,1,6,15,25,31,p_+6.800000_+10.300000__+8.240000_+10.660000__sep_+0.360000
5559,6.8,7.92,10.12,10.84,10.48,0.72,1,6,13,22,34,p_+6.800000_+10.120000__+7.920000_+10.840000__sep_+0.720000
5230,6.96,8.08,10.3,10.66,10.48,0.36,1,7,14,25,31,p_+6.960000_+10.300000__+8.080000_+10.660000__sep_+0.360000
5231,6.96,8.24,10.3,10.66,10.48,0.36,1,7,15,25,31,p_+6.960000_+10.300000__+8.240000_+10.660000__sep_+0.360000
4716,6.96,7.92,9.88,10.6,10.24,0.72,1,7,13,18,30,p_+6.960000_+9.880000__+7.920000_+10.600000__sep_+0.720000
4704,6.8,7.92,9.88,10.6,10.24,0.72,1,6,13,18,30,p_+6.800000_+9.880000__+7.920000_+10.600000__sep_+0.720000
6415,6.8,8.08,10.36,11.08,10.72,0.72,1,6,14,26,37,p_+6.800000_+10.360000__+8.080000_+11.080000__sep_+0.720000
5571,6.96,7.92,10.12,10.84,10.48,0.72,1,7,13,22,34,p_+6.960000_+10.120000__+7.920000_+10.840000__sep_+0.720000
4728,7.12,8.08,9.88,10.6,10.24,0.72,1,8,14,18,30,p_+7.120000_+9.880000__+8.080000_+10.600000__sep_+0.720000
4362,6.8,7.92,10.06,10.42,10.24,0.36,1,6,13,21,27,p_+6.800000_+10.060000__+7.920000_+10.420000__sep_+0.360000
4729,7.12,8.24,9.88,10.6,10.24,0.72,1,8,15,18,30,p_+7.120000_+9.880000__+8.240000_+10.600000__sep_+0.720000
6416,6.8,8.24,10.36,11.08,10.72,0.72,1,6,15,26,37,p_+6.800000_+10.360000__+8.240000_+11.080000__sep_+0.720000
4719,6.96,8.4,9.88,10.6,10.24,0.72,1,7,16,18,30,p_+6.960000_+9.880000__+8.400000_+10.600000__sep_+0.720000
5574,6.96,8.4,10.12,10.84,10.48,0.72,1,7,16,22,34,p_+6.960000_+10.120000__+8.400000_+10.840000__sep_+0.720000
5547,6.64,8.08,10.12,10.84,10.48,0.72,1,5,14,22,34,p_+6.640000_+10.120000__+8.080000_+10.840000__sep_+0.720000
3862,6.96,8.08,9.64,10.36,10,0.72,1,7,14,14,26,p_+6.960000_+9.640000__+8.080000_+10.360000__sep_+0.720000
4374,6.96,7.92,10.06,10.42,10.24,0.36,1,7,13,21,27,p_+6.960000_+10.060000__+7.920000_+10.420000__sep_+0.360000
5217,6.8,7.92,10.3,10.66,10.48,0.36,1,6,13,25,31,p_+6.800000_+10.300000__+7.920000_+10.660000__sep_+0.360000
6427,6.96,8.08,10.36,11.08,10.72,0.72,1,7,14,26,37,p_+6.960000_+10.360000__+8.080000_+11.080000__sep_+0.720000
2500,7.12,7.28,9.76,9.76,9.76,0,1,8,9,16,16,p_+7.120000_+9.760000__+7.280000_+9.760000__sep_+0.000000
7348,8.4,8.56,11.2,11.2,11.2,0,1,16,17,39,39,p_+8.400000_+11.200000__+8.560000_+11.200000__sep_+0.000000
7105,6.96,7.12,11.14,10.78,10.96,0.36,-1,7,8,38,33,p_+6.960000_+11.140000__+7.120000_+10.780000__sep_+0.360000
