rank,candidate_index,candidate_id,score,score_source
1,4717,p_+6.960000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209422.041790702,fixed
2,5560,p_+6.800000_+10.120000__+8.080000_+10.840000__sep_+0.720000,209383.6942993,fixed
3,4705,p_+6.800000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209370.911802167,fixed
4,4718,p_+6.960000_+9.880000__+8.240000_+10.600000__sep_+0.720000,208885.176911084,fixed
5,4363,p_+6.800000_+10.060000__+8.080000_+10.420000__sep_+0.360000,208552.831985607,fixed
6,5561,p_+6.800000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207696.404677646,fixed
7,5572,p_+6.960000_+10.120000__+8.080000_+10.840000__sep_+0.720000,207658.057186245,fixed
8,4706,p_+6.800000_+9.880000__+8.240000_+10.600000__sep_+0.720000,207472.710977806,fixed
9,4364,p_+6.800000_+10.060000__+8.240000_+10.420000__sep_+0.360000,207268.191023666,fixed
10,5573,p_+6.960000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207261.799775099,fixed
