quant_mode,gap_bin,num_trials,top1_preservation_rate,topK_set_preservation_rate,topK_miss_rate,argmax_changed_rate,score_gap_sign_flip_rate,mean_score_gap_rel_error,p95_score_gap_rel_error,max_score_gap_rel_error,same_policy_rate,same_confidence_rate,same_boundary_rate
double_baseline,gap_bin_very_weak,2,1,1,0,0,0,0,0,0,1,1,1
double_baseline,gap_bin_weak,83,1,1,0,0,0,0,0,0,1,1,1
double_baseline,gap_bin_transition,501,1,1,0,0,0,0,0,0,1,1,1
double_baseline,gap_bin_reliable,614,1,1,0,0,0,0,0,0,1,1,1
float32_all,gap_bin_very_weak,2,1,1,0,0,0,0.0267383548234956,0.0429507086086597,0.0429507086086597,1,1,1
float32_all,gap_bin_weak,83,1,1,0,0,0,0.00484174944809996,0.0143100961892771,0.0204168847387167,1,1,1
float32_all,gap_bin_transition,501,0.998003992015968,1,0,0.00199600798403194,0,0.000252361219830317,0.000830637341941081,0.00164567393977532,1,1,1
float32_all,gap_bin_reliable,614,1,1,0,0,0,3.55294071896785e-05,9.4400052438543e-05,0.000136225498532391,1,1,1
combined_int16,gap_bin_very_weak,2,0,1,0,1,1,1,1,1,1,1,1
combined_int16,gap_bin_weak,83,0.771084337349398,1,0,0.228915662650602,0,0.0564520977967763,0.136896097646837,0.306920452263239,1,1,1
combined_int16,gap_bin_transition,501,0.834331337325349,0.982035928143713,0.00179640718562874,0.165668662674651,0,0.0149907512128586,0.0476790404022265,0.0863009497308392,0.998003992015968,0.998003992015968,1
combined_int16,gap_bin_reliable,614,0.965798045602606,0.998371335504886,0.000162866449511401,0.0342019543973941,0,0.00250003039735374,0.00584818879702027,0.00901686491710321,1,1,1
combined_int18,gap_bin_very_weak,2,1,1,0,0,0.5,0.626684686545691,1,1,1,1,1
combined_int18,gap_bin_weak,83,0.903614457831325,1,0,0.0963855421686747,0,0.0176723162866776,0.0304434029536144,0.0947392768066741,1,1,1
combined_int18,gap_bin_transition,501,0.958083832335329,0.998003992015968,0.000199600798403194,0.0419161676646707,0,0.00378498213658768,0.0121269325431227,0.0190973584605586,1,1,1
combined_int18,gap_bin_reliable,614,0.995114006514658,1,0,0.00488599348534202,0,0.000621515711720883,0.00143506069417562,0.00194674247735142,1,1,1
combined_int24,gap_bin_very_weak,2,1,1,0,0,0,0.00814762001480173,0.0150664992615441,0.0150664992615441,1,1,1
combined_int24,gap_bin_weak,83,1,1,0,0,0,0.000277584928652344,0.000571936364853511,0.000745037077431218,1,1,1
combined_int24,gap_bin_transition,501,1,1,0,0,0,5.67331837133283e-05,0.000189805931595184,0.000332054144703467,1,1,1
combined_int24,gap_bin_reliable,614,1,1,0,0,0,1.02230500145416e-05,2.35216155511563e-05,3.31253285859642e-05,1,1,1
mixed_Z16_G24_Rz24,gap_bin_very_weak,2,1,1,0,0,0,0.0204604872144084,0.0208115745263568,0.0208115745263568,1,1,1
mixed_Z16_G24_Rz24,gap_bin_weak,83,1,1,0,0,0,0.00120527133905875,0.00410820232047612,0.0107814111767915,1,1,1
mixed_Z16_G24_Rz24,gap_bin_transition,501,1,1,0,0,0,0.000205647183855334,0.000669349742946552,0.00236072911917201,1,1,1
mixed_Z16_G24_Rz24,gap_bin_reliable,614,1,1,0,0,0,4.85626627394039e-05,0.000132522987024297,0.000367829092644826,1,1,1
combined_int14,gap_bin_very_weak,2,0,1,0,1,1,1,1,1,1,1,1
combined_int14,gap_bin_weak,83,0.265060240963855,1,0,0.734939759036145,0.0481927710843374,0.158035946310664,1,1.06943972884559,1,1,1
combined_int14,gap_bin_transition,501,0.465069860279441,0.93812375249501,0.006187624750499,0.534930139720559,0,0.0484253584031661,0.133957056072775,0.241301656030377,0.998003992015968,0.998003992015968,1
combined_int14,gap_bin_reliable,614,0.820846905537459,0.980456026058632,0.00195439739413681,0.179153094462541,0,0.0107028119325186,0.0239437744263402,0.0328040737466259,1,1,1
W_int18_G24_Z16,gap_bin_very_weak,2,1,1,0,0,0,0.0253565395440234,0.0306035688493537,0.0306035688493537,1,1,1
W_int18_G24_Z16,gap_bin_weak,83,1,1,0,0,0,0.00111472459592979,0.0033437941934365,0.0103322643130245,1,1,1
W_int18_G24_Z16,gap_bin_transition,501,1,1,0,0,0,0.000211496749607762,0.000662449734563806,0.00214613286950777,1,1,1
W_int18_G24_Z16,gap_bin_reliable,614,1,1,0,0,0,4.88269384626914e-05,0.000130565507924378,0.000367792110421006,1,1,1
