obs_global_index,obs_id,chunk_id_assigned,total_chunks,run_tag,center_index,center_az,scenario_name,scenario_index,trial_id,planned_flag,completed_flag
1,cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,1,0,easy_noncoherent,1,1,1,1
2,cp00p00_easy_noncoherent_t0002,2,120,formal_tps30,1,0,easy_noncoherent,1,2,1,1
3,cp00p00_easy_noncoherent_t0003,3,120,formal_tps30,1,0,easy_noncoherent,1,3,1,1
4,cp00p00_easy_noncoherent_t0004,4,120,formal_tps30,1,0,easy_noncoherent,1,4,1,1
5,cp00p00_easy_noncoherent_t0005,5,120,formal_tps30,1,0,easy_noncoherent,1,5,1,1
6,cp00p00_easy_noncoherent_t0006,6,120,formal_tps30,1,0,easy_noncoherent,1,6,1,1
7,cp00p00_easy_noncoherent_t0007,7,120,formal_tps30,1,0,easy_noncoherent,1,7,1,1
8,cp00p00_easy_noncoherent_t0008,8,120,formal_tps30,1,0,easy_noncoherent,1,8,1,1
9,cp00p00_easy_noncoherent_t0009,9,120,formal_tps30,1,0,easy_noncoherent,1,9,1,1
10,cp00p00_easy_noncoherent_t0010,10,120,formal_tps30,1,0,easy_noncoherent,1,10,1,1
11,cp00p00_easy_noncoherent_t0011,11,120,formal_tps30,1,0,easy_noncoherent,1,11,1,1
12,cp00p00_easy_noncoherent_t0012,12,120,formal_tps30,1,0,easy_noncoherent,1,12,1,1
13,cp00p00_easy_noncoherent_t0013,13,120,formal_tps30,1,0,easy_noncoherent,1,13,1,1
14,cp00p00_easy_noncoherent_t0014,14,120,formal_tps30,1,0,easy_noncoherent,1,14,1,1
15,cp00p00_easy_noncoherent_t0015,15,120,formal_tps30,1,0,easy_noncoherent,1,15,1,1
16,cp00p00_easy_noncoherent_t0016,16,120,formal_tps30,1,0,easy_noncoherent,1,16,1,1
17,cp00p00_easy_noncoherent_t0017,17,120,formal_tps30,1,0,easy_noncoherent,1,17,1,1
18,cp00p00_easy_noncoherent_t0018,18,120,formal_tps30,1,0,easy_noncoherent,1,18,1,1
19,cp00p00_easy_noncoherent_t0019,19,120,formal_tps30,1,0,easy_noncoherent,1,19,1,1
20,cp00p00_easy_noncoherent_t0020,20,120,formal_tps30,1,0,easy_noncoherent,1,20,1,1
21,cp00p00_easy_noncoherent_t0021,21,120,formal_tps30,1,0,easy_noncoherent,1,21,1,1
22,cp00p00_easy_noncoherent_t0022,22,120,formal_tps30,1,0,easy_noncoherent,1,22,1,1
23,cp00p00_easy_noncoherent_t0023,23,120,formal_tps30,1,0,easy_noncoherent,1,23,1,1
24,cp00p00_easy_noncoherent_t0024,24,120,formal_tps30,1,0,easy_noncoherent,1,24,1,1
25,cp00p00_easy_noncoherent_t0025,25,120,formal_tps30,1,0,easy_noncoherent,1,25,1,1
26,cp00p00_easy_noncoherent_t0026,26,120,formal_tps30,1,0,easy_noncoherent,1,26,1,1
27,cp00p00_easy_noncoherent_t0027,27,120,formal_tps30,1,0,easy_noncoherent,1,27,1,1
28,cp00p00_easy_noncoherent_t0028,28,120,formal_tps30,1,0,easy_noncoherent,1,28,1,1
29,cp00p00_easy_noncoherent_t0029,29,120,formal_tps30,1,0,easy_noncoherent,1,29,1,1
30,cp00p00_easy_noncoherent_t0030,30,120,formal_tps30,1,0,easy_noncoherent,1,30,1,1
31,cp00p00_strong_coherent_t0001,31,120,formal_tps30,1,0,strong_coherent,2,1,1,1
32,cp00p00_strong_coherent_t0002,32,120,formal_tps30,1,0,strong_coherent,2,2,1,1
33,cp00p00_strong_coherent_t0003,33,120,formal_tps30,1,0,strong_coherent,2,3,1,1
34,cp00p00_strong_coherent_t0004,34,120,formal_tps30,1,0,strong_coherent,2,4,1,1
35,cp00p00_strong_coherent_t0005,35,120,formal_tps30,1,0,strong_coherent,2,5,1,1
36,cp00p00_strong_coherent_t0006,36,120,formal_tps30,1,0,strong_coherent,2,6,1,1
37,cp00p00_strong_coherent_t0007,37,120,formal_tps30,1,0,strong_coherent,2,7,1,1
38,cp00p00_strong_coherent_t0008,38,120,formal_tps30,1,0,strong_coherent,2,8,1,1
39,cp00p00_strong_coherent_t0009,39,120,formal_tps30,1,0,strong_coherent,2,9,1,1
40,cp00p00_strong_coherent_t0010,40,120,formal_tps30,1,0,strong_coherent,2,10,1,1
41,cp00p00_strong_coherent_t0011,41,120,formal_tps30,1,0,strong_coherent,2,11,1,1
42,cp00p00_strong_coherent_t0012,42,120,formal_tps30,1,0,strong_coherent,2,12,1,1
43,cp00p00_strong_coherent_t0013,43,120,formal_tps30,1,0,strong_coherent,2,13,1,1
44,cp00p00_strong_coherent_t0014,44,120,formal_tps30,1,0,strong_coherent,2,14,1,1
45,cp00p00_strong_coherent_t0015,45,120,formal_tps30,1,0,strong_coherent,2,15,1,1
46,cp00p00_strong_coherent_t0016,46,120,formal_tps30,1,0,strong_coherent,2,16,1,1
47,cp00p00_strong_coherent_t0017,47,120,formal_tps30,1,0,strong_coherent,2,17,1,1
48,cp00p00_strong_coherent_t0018,48,120,formal_tps30,1,0,strong_coherent,2,18,1,1
49,cp00p00_strong_coherent_t0019,49,120,formal_tps30,1,0,strong_coherent,2,19,1,1
50,cp00p00_strong_coherent_t0020,50,120,formal_tps30,1,0,strong_coherent,2,20,1,1
51,cp00p00_strong_coherent_t0021,51,120,formal_tps30,1,0,strong_coherent,2,21,1,1
52,cp00p00_strong_coherent_t0022,52,120,formal_tps30,1,0,strong_coherent,2,22,1,1
53,cp00p00_strong_coherent_t0023,53,120,formal_tps30,1,0,strong_coherent,2,23,1,1
54,cp00p00_strong_coherent_t0024,54,120,formal_tps30,1,0,strong_coherent,2,24,1,1
55,cp00p00_strong_coherent_t0025,55,120,formal_tps30,1,0,strong_coherent,2,25,1,1
56,cp00p00_strong_coherent_t0026,56,120,formal_tps30,1,0,strong_coherent,2,26,1,1
57,cp00p00_strong_coherent_t0027,57,120,formal_tps30,1,0,strong_coherent,2,27,1,1
58,cp00p00_strong_coherent_t0028,58,120,formal_tps30,1,0,strong_coherent,2,28,1,1
59,cp00p00_strong_coherent_t0029,59,120,formal_tps30,1,0,strong_coherent,2,29,1,1
60,cp00p00_strong_coherent_t0030,60,120,formal_tps30,1,0,strong_coherent,2,30,1,1
61,cp00p00_hard_phase_t0001,61,120,formal_tps30,1,0,hard_phase,3,1,1,1
62,cp00p00_hard_phase_t0002,62,120,formal_tps30,1,0,hard_phase,3,2,1,1
63,cp00p00_hard_phase_t0003,63,120,formal_tps30,1,0,hard_phase,3,3,1,1
64,cp00p00_hard_phase_t0004,64,120,formal_tps30,1,0,hard_phase,3,4,1,1
65,cp00p00_hard_phase_t0005,65,120,formal_tps30,1,0,hard_phase,3,5,1,1
66,cp00p00_hard_phase_t0006,66,120,formal_tps30,1,0,hard_phase,3,6,1,1
67,cp00p00_hard_phase_t0007,67,120,formal_tps30,1,0,hard_phase,3,7,1,1
68,cp00p00_hard_phase_t0008,68,120,formal_tps30,1,0,hard_phase,3,8,1,1
69,cp00p00_hard_phase_t0009,69,120,formal_tps30,1,0,hard_phase,3,9,1,1
70,cp00p00_hard_phase_t0010,70,120,formal_tps30,1,0,hard_phase,3,10,1,1
71,cp00p00_hard_phase_t0011,71,120,formal_tps30,1,0,hard_phase,3,11,1,1
72,cp00p00_hard_phase_t0012,72,120,formal_tps30,1,0,hard_phase,3,12,1,1
73,cp00p00_hard_phase_t0013,73,120,formal_tps30,1,0,hard_phase,3,13,1,1
74,cp00p00_hard_phase_t0014,74,120,formal_tps30,1,0,hard_phase,3,14,1,1
75,cp00p00_hard_phase_t0015,75,120,formal_tps30,1,0,hard_phase,3,15,1,1
76,cp00p00_hard_phase_t0016,76,120,formal_tps30,1,0,hard_phase,3,16,1,1
