obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,,build_step11_input,0.008661,NaN,10,NaN,Step11.7 frontend-like input builder
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,,build_candidate_score_pack,0.824938,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,,build_step11_input,0.005725,NaN,10,NaN,Step11.7 frontend-like input builder
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,,build_candidate_score_pack,0.7786873,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,,build_step11_input,0.0056777,NaN,10,NaN,Step11.7 frontend-like input builder
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,,build_candidate_score_pack,0.7793824,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,4,8,,build_step11_input,0.0061299,NaN,10,NaN,Step11.7 frontend-like input builder
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,4,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,4,8,,build_candidate_score_pack,0.8830272,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,4,8,,build_step11_input,0.0057479,NaN,10,NaN,Step11.7 frontend-like input builder
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,4,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,4,8,,build_candidate_score_pack,0.844009,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,8,8,,build_step11_input,0.0083691,NaN,10,NaN,Step11.7 frontend-like input builder
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,8,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,8,8,,build_candidate_score_pack,0.7845093,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,8,8,,build_step11_input,0.0066127,NaN,10,NaN,Step11.7 frontend-like input builder
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,8,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,8,8,,build_candidate_score_pack,0.7939953,7353,10,NaN,Build W/Y/Z/Rz/G_cache candidate score pack
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,8,8,,build_step11_input,0.0062158,NaN,10,NaN,Step11.7 frontend-like input builder
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,8,8,,run_step11_backend,0,NaN,10,NaN,Skipped full Step11.7 backend; using Step12 score-core adapter
