obs_global_index,obs_id,chunk_id_assigned,total_chunks,run_tag,center_index,center_az,scenario_name,scenario_index,trial_id,planned_flag,completed_flag
1,cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,1,0,easy_noncoherent,1,1,0,0
2,cp00p00_easy_noncoherent_t0002,2,120,formal_tps30,1,0,easy_noncoherent,1,2,0,0
3,cp00p00_easy_noncoherent_t0003,3,120,formal_tps30,1,0,easy_noncoherent,1,3,0,0
4,cp00p00_easy_noncoherent_t0004,4,120,formal_tps30,1,0,easy_noncoherent,1,4,0,0
5,cp00p00_easy_noncoherent_t0005,5,120,formal_tps30,1,0,easy_noncoherent,1,5,0,0
6,cp00p00_easy_noncoherent_t0006,6,120,formal_tps30,1,0,easy_noncoherent,1,6,0,0
7,cp00p00_easy_noncoherent_t0007,7,120,formal_tps30,1,0,easy_noncoherent,1,7,0,0
8,cp00p00_easy_noncoherent_t0008,8,120,formal_tps30,1,0,easy_noncoherent,1,8,0,0
9,cp00p00_easy_noncoherent_t0009,9,120,formal_tps30,1,0,easy_noncoherent,1,9,0,0
10,cp00p00_easy_noncoherent_t0010,10,120,formal_tps30,1,0,easy_noncoherent,1,10,0,0
11,cp00p00_easy_noncoherent_t0011,11,120,formal_tps30,1,0,easy_noncoherent,1,11,0,0
12,cp00p00_easy_noncoherent_t0012,12,120,formal_tps30,1,0,easy_noncoherent,1,12,0,0
13,cp00p00_easy_noncoherent_t0013,13,120,formal_tps30,1,0,easy_noncoherent,1,13,0,0
14,cp00p00_easy_noncoherent_t0014,14,120,formal_tps30,1,0,easy_noncoherent,1,14,0,0
15,cp00p00_easy_noncoherent_t0015,15,120,formal_tps30,1,0,easy_noncoherent,1,15,0,0
16,cp00p00_easy_noncoherent_t0016,16,120,formal_tps30,1,0,easy_noncoherent,1,16,0,0
17,cp00p00_easy_noncoherent_t0017,17,120,formal_tps30,1,0,easy_noncoherent,1,17,0,0
18,cp00p00_easy_noncoherent_t0018,18,120,formal_tps30,1,0,easy_noncoherent,1,18,0,0
19,cp00p00_easy_noncoherent_t0019,19,120,formal_tps30,1,0,easy_noncoherent,1,19,0,0
20,cp00p00_easy_noncoherent_t0020,20,120,formal_tps30,1,0,easy_noncoherent,1,20,0,0
21,cp00p00_easy_noncoherent_t0021,21,120,formal_tps30,1,0,easy_noncoherent,1,21,0,0
22,cp00p00_easy_noncoherent_t0022,22,120,formal_tps30,1,0,easy_noncoherent,1,22,0,0
23,cp00p00_easy_noncoherent_t0023,23,120,formal_tps30,1,0,easy_noncoherent,1,23,0,0
24,cp00p00_easy_noncoherent_t0024,24,120,formal_tps30,1,0,easy_noncoherent,1,24,0,0
25,cp00p00_easy_noncoherent_t0025,25,120,formal_tps30,1,0,easy_noncoherent,1,25,0,0
26,cp00p00_easy_noncoherent_t0026,26,120,formal_tps30,1,0,easy_noncoherent,1,26,0,0
27,cp00p00_easy_noncoherent_t0027,27,120,formal_tps30,1,0,easy_noncoherent,1,27,0,0
28,cp00p00_easy_noncoherent_t0028,28,120,formal_tps30,1,0,easy_noncoherent,1,28,0,0
29,cp00p00_easy_noncoherent_t0029,29,120,formal_tps30,1,0,easy_noncoherent,1,29,0,0
30,cp00p00_easy_noncoherent_t0030,30,120,formal_tps30,1,0,easy_noncoherent,1,30,0,0
31,cp00p00_strong_coherent_t0001,31,120,formal_tps30,1,0,strong_coherent,2,1,0,0
