quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,12,6,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,12,6,1,1,0,1,1,0,0,0,0.999999999693122,0.999999999486859,7.40456333281836e-07,0.000486514664182594,1,1,1,1,1,0,0,1,1,0,16
W_int16_only,1,0,12,6,1,1,0,1,1,0,0,0,0.999999999750976,0.999999999456675,5.4402189351985e-07,2.5174885958855e-05,1,1,1,1,1,0,0,1,1,0,16
Gcache_int16_only,1,0,12,6,1,1,0,1,1,0,0,0,0.999999988268195,0.999999985601875,1.88279395799399e-05,0.00185252504574067,1,1,1,1,1,0,0,1,1,0,16
Z_int16_only,1,0,12,6,1,1,0,1,1,0,0,0,0.999999999074335,0.999999998702056,3.87221285690039e-06,0.000402014878259418,1,1,1,1,1,0,0,1,1,0,16
Rz_int18_only,1,0,12,6,1,1,0,1,1,0,0,0,0.999999998425362,0.999999997856883,4.7978339355648e-06,0.000378361958487239,1,1,1,1,1,0,0,1,1,0,18
combined_int16,1,1,12,6,1,1,0,1,1,0,0,0,0.99999997488629,0.999999971807445,3.14638671094331e-05,0.0181720978355982,1,1,1,1,1,0,0,1,1,0,16
combined_int18,1,1,12,6,1,1,0,1,1,0,0,0,0.999999994740308,0.999999993812127,7.79464759369092e-06,0.00592833620622964,1,1,1,1,1,0,0,1,1,0,18
combined_int24,1,1,12,6,1,1,0,1,1,0,0,0,0.999999999932085,0.999999999788707,1.17995289741524e-07,5.19644293577447e-05,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_score_float,0,0,12,6,1,1,0,1,1,0,0,0,0.999999999079365,0.999999998702056,3.86923232809123e-06,0.000367323990527104,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,12,6,1,1,0,1,1,0,0,0,0.99999999907685,0.999999998641687,3.82753814668309e-06,0.000396010556519298,1,1,1,1,1,0,0,1,1,0,24
combined_int14,1,1,12,6,0.833333333333333,1,0,0.833333333333333,1,0,0.166666666666667,0,0.999999858312793,0.999999823117376,0.000114626329858308,0.0354613325094253,1,0.833333333333333,1,1,1,0,0,0,1,0,16
Gcache_int24_only,1,0,12,6,1,1,0,1,1,0,0,0,0.999999999964785,0.999999999879261,7.48610282917049e-08,3.24692320122648e-06,1,1,1,1,1,0,0,1,1,0,24
W_int18_G24_Z16,1,1,12,6,1,1,0,1,1,0,0,0,0.999999999074335,0.999999998762426,3.69233464990053e-06,0.000396096503889574,1,1,1,1,1,0,0,1,1,0,24
