quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,2,2,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,2,2,1,1,0,1,1,0,0,0,0.999999999818892,0.999999999728337,8.1881267241723e-07,3.26437927400821e-05,1,1,1,1,1,0,0,1,1,0,16
W_int16_only,1,0,2,2,1,1,0,1,1,0,0,0,0.999999999864169,0.999999999849077,3.6544342756963e-07,8.87137058760573e-06,1,1,1,1,1,0,0,1,1,1,16
Gcache_int16_only,1,0,2,2,1,1,0,1,1,0,0,0,0.999999988001563,0.999999987141297,2.44258362044687e-05,0.000823271482620696,1,1,1,1,1,0,0,1,1,1,16
Z_int16_only,1,0,2,2,1,1,0,1,1,0,0,0,0.999999999532137,0.999999999245382,1.63787723225526e-06,8.28710089807716e-05,1,1,1,1,1,0,0,1,1,1,16
Rz_int18_only,1,0,2,2,1,1,0,1,1,0,0,0,0.999999998641686,0.999999998098361,2.88655055559045e-06,0.000378361958671733,1,1,1,1,1,0,0,1,1,1,18
combined_int16,1,1,2,2,1,1,0,1,1,0,0,0,0.999999978644291,0.999999975429615,3.07572959518572e-05,0.00524399444604288,1,1,1,1,1,0,0,1,1,1,16
combined_int18,1,1,2,2,1,1,0,1,1,0,0,0,0.99999999497424,0.999999994415822,7.3758138983472e-06,0.00154341504173511,1,1,1,1,1,0,0,1,1,1,18
combined_int24,1,1,2,2,1,1,0,1,1,0,0,0,0.999999999924538,0.999999999909446,1.32877234420057e-07,2.13143556756493e-05,1,1,1,1,1,0,0,1,1,1,24
mixed_Z16_G24_score_float,0,0,2,2,1,1,0,1,1,0,0,0,0.999999999486859,0.999999999185012,1.64586803413079e-06,0.000105622725339653,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,2,2,1,1,0,1,1,0,0,0,0.999999999532137,0.999999999275566,1.63889053446218e-06,9.64214963121538e-05,1,1,1,1,1,0,0,1,1,1,24
combined_int14,1,1,2,2,1,1,0,1,1,0,0,0,0.999999869118932,0.999999864832698,0.00012547893597286,0.00813459295048843,1,1,1,1,1,0,0,1,1,1,16
Gcache_int24_only,1,0,2,2,1,1,0,1,1,0,0,0,0.999999999969815,0.999999999969815,9.03953507442223e-08,9.82134887932864e-07,1,1,1,1,1,0,0,1,1,1,24
W_int18_G24_Z16,1,1,2,2,1,1,0,1,1,0,0,0,0.999999999562321,0.999999999335936,1.66109865350877e-06,9.64593674238695e-05,1,1,1,1,1,0,0,1,1,1,24
