file_name,role,directory
step13_4_fulln_metadata.csv,key value metadata,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_w_int.csv,full-N quantized W integer,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_y_int.csv,full-N selected Y integer,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_accum.csv,full-N raw ACC48 golden,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_z24.csv,full-N Z24 golden,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_vectors.vh,Verilog include with dimensions and mem paths,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_w_re.mem,W real readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_w_im.mem,W imag readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_y_re.mem,Y real readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_y_im.mem,Y imag readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_acc_re.mem,ACC real expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_acc_im.mem,ACC imag expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_z_re.mem,Z real expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_z_im.mem,Z imag expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_clip_re.mem,clip real expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_clip_im.mem,clip imag expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_overflow_re.mem,overflow real expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
step13_4_fulln_overflow_im.mem,overflow imag expected readmemh,E:\matlab_code\bishe_quanxi\stepwise_signal_model\steps\step_13_fpga_soc_dbf_boundary\results_step13_fpga_soc_dbf_boundary\rtl_fulln
