metric,value
input_source_used,"step11_light"
W_method,"greedy_combined_B7"
N,"2080"
B,"7"
L,"2"
W_bits,"18"
Y_bits,"16"
ACC_bits,"48"
Z_bits,"24"
engineering_Z_shift_bits,"20"
Z_shift_auto_selected,"false"
fixed_shift_source,"step13_4_full_data_engineering_sweep"
scale_w,"3909131.2750898399"
scale_y_per_snapshot,"33216.582976971011"
clip_count,"0"
overflow_count,"0"
source_center_az,"0"
source_scenario_name,"weak_secondary"
source_trial_id,"3"
source_seed,"20264622"
selected_snapshot_indices,"5,0"
selection_reason,"snapshot A has global max abs accumulator; snapshot B is first different snapshot"
step11_7_full_backend_called,"false"
step11_7_backend_default_changed,"false"
formal_result_claimed,"false"
W_clip_rate,"0"
Y_clip_rate,"0"
