frame_index,b_index,acc_re,acc_im,z_re,z_im,clip_re,clip_im,overflow_re,overflow_im
0,0,-3448599217904,-298481150949,-3288841,-284654,0,0,0,0
0,1,1009675433935,-753728855826,962902,-718812,0,0,0,0
0,2,-417481893329,-1220428233098,-398142,-1163891,0,0,0,0
0,3,591361286286,-457877760314,563966,-436666,0,0,0,0
0,4,493204003111,416232412062,470356,396950,0,0,0,0
0,5,-84524237910,-74719235676,-80609,-71258,0,0,0,0
0,6,-246696630439,461345958926,-235268,439974,0,0,0,0
1,0,-1337320631674,-3110333013391,-1275368,-2966245,0,0,0,0
1,1,1254385628586,710173142533,1196275,677274,0,0,0,0
1,2,924991395736,-945351526937,882141,-901557,0,0,0,0
1,3,660176291602,281690174607,629593,268641,0,0,0,0
1,4,-117914371225,623812392880,-112452,594914,0,0,0,0
1,5,-19089645349,-128379215359,-18205,-122432,0,0,0,0
1,6,-583085977228,-14232813474,-556074,-13573,0,0,0,0
