metric,value
tool_xvlog_found,true
tool_xelab_found,true
tool_xsim_found,true
compact_raw_accumulator_status,pass
compact_z24_status,pass
fulln_N,2080
fulln_B,7
fulln_L,2
fulln_ACC_bits,48
fulln_Z_bits,24
engineering_Z_shift_bits,20
fulln_no_gap_frame_status,pass
fulln_valid_gap_frame_status,pass
fulln_accumulator_match_flag,true
fulln_z24_match_flag,true
fulln_missing_count,0
fulln_mismatch_count,0
fulln_unexpected_out_valid_count,0
fulln_clip_count,0
fulln_overflow_count,0
simulation_status,pass
formal_result_claimed,false
note,xsim_fulln_smoke_passed
