b_index,l_index,acc_re,acc_im
0,0,-17232191338,-19120958463
1,0,22577009052,5748394695
2,0,-22550186280,807988593
3,0,-8947899196,-12692602177
4,0,4423590331,4560721455
5,0,-7317932354,-1388193890
6,0,20760895194,-6914243477
0,1,18389032228,14889059297
1,1,-20132087084,-11981248021
2,1,22928109211,-1399278314
3,1,5654224490,6887337797
4,1,-3788740485,-5648142310
5,1,7659318187,1541855649
6,1,-22872926079,514220482
0,2,-5409964434,20398953868
1,2,16667354267,-10203388454
2,2,3430045777,19906324847
3,2,5367980246,3518450388
4,2,5730920324,-2244197033
5,2,-1115235727,7111736445
6,2,8946173998,-18456794389
0,3,-4748076993,20518208470
1,3,16390890882,-10478456319
2,3,3844239927,19656042421
3,3,5651253102,3379075258
4,3,5566847780,-2349187299
5,3,-998550470,7032210676
6,3,8555857296,-18565241801
