metric,value
input_source_requested,step11_light
input_source_used,step11_light
fallback_reason,
W_method,greedy_combined_B7
full_N_input_channels,2080
full_B_output_beams,7
full_L_snapshots,16
golden_N_limit,64
golden_B_limit,7
golden_L_limit,4
quant_mode,mixed_W18_Y16_Z24
W_bits,18
Y_bits,16
Z_bits,24
ACC_bits,42
full_ACC_bits,48
Z_shift_bits,12
Z_shift_auto_selected,true
z24_rounding_mode,symmetric_round_to_nearest_abs_add_half_then_shift
z24_saturation_mode,signed_saturate_to_int24_range
z24_reference_generated,true
scale_w,3909131.2750898399
scale_y,33201.479433286331
clip_rate,0
step11_adapter_found_flag,true
step11_7_full_backend_called,false
step11_7_backend_default_changed,false
formal_result_claimed,false
fpga_rtl_scope,DBF raw accumulator plus Z24 shift-round-saturate output datapath
rz_gcache_ml_topk_c05_cpu_soc_responsibility,true
outside_fpga_rtl_by_design,Rz; G_cache; 2D ML search; topK; C05; confidence; boundary; fallback
