n_index,b_index,w_re,w_im
0,0,-6744,26807
1,0,27334,4018
2,0,-1350,-27567
3,0,-25953,9267
4,0,18563,20291
5,0,8716,-26010
6,0,-26157,7983
7,0,23407,13955
8,0,-8565,-25754
9,0,-7083,26073
10,0,17762,-20179
11,0,-23119,13427
12,0,25048,-8879
13,0,-25255,7704
14,0,24194,-10111
15,0,-20828,15612
16,0,13045,-22289
17,0,568,25607
18,0,-16938,-18916
19,0,25151,-669
20,0,-12289,21681
21,0,-15450,-19239
22,0,21840,-10927
23,0,9827,22072
24,0,-20455,12353
25,0,-17571,-15791
26,0,6100,-22537
27,0,21449,-8491
28,0,21177,8410
29,0,12947,18402
30,0,4618,21727
31,0,-391,21919
32,0,-1480,21582
33,0,1228,21307
34,0,7419,19702
35,0,15447,13875
36,0,20416,1581
37,0,14744,-13797
38,0,-3665,-19570
39,0,-19205,-4072
40,0,-8091,17585
41,0,16902,8867
42,0,6742,-17573
43,0,-18499,-1532
44,0,6553,17096
45,0,10100,-14974
46,0,-17539,3164
47,0,15740,7849
48,0,-10123,-14107
49,0,4887,16436
50,0,-1776,-16845
51,0,1125,16701
52,0,-2839,-16302
53,0,6628,14964
54,0,-11586,-11314
55,0,15488,4139
56,0,-14750,5881
57,0,6515,-14325
58,0,6894,13999
59,0,-15384,-1749
60,0,8332,-12918
61,0,9179,12204
62,0,-14018,5824
63,0,-3585,-14667
0,1,7856,-26502
1,1,-26839,-6556
2,1,-2753,27462
3,1,27304,-3729
4,1,-12508,-24493
5,1,-16748,21725
6,1,27198,2862
7,1,-14512,-23066
8,1,-6028,26463
9,1,20935,-17079
10,1,-26586,3988
11,1,25867,6757
12,1,-22996,-13321
13,1,20922,16108
14,1,-20952,-15768
15,1,22980,12224
16,1,-25390,-4726
17,1,24669,-6890
18,1,-16115,19622
19,1,-2022,-25079
20,1,21080,13292
21,1,-21324,12415
22,1,-5104,-23882
23,1,24117,-1452
24,1,1859,23823
25,1,-22797,6197
26,1,-13647,-18945
27,1,9304,-21109
28,1,21834,-6515
29,1,20714,8785
30,1,13513,17629
31,1,6776,20850
32,1,3248,21388
33,1,3477,21057
34,1,7279,19755
35,1,13670,15629
36,1,19497,6260
37,1,18550,-7975
38,1,5378,-19170
39,1,-13963,-13800
40,1,-17365,8552
41,1,5551,18262
42,1,17970,-5600
43,1,-8523,-16490
44,1,-12518,13361
45,1,17509,4433
46,1,-7245,-16283
47,1,-5636,16662
48,1,13753,-10599
49,1,-16724,3785
50,1,16907,1020
51,1,-16421,-3244
52,1,16265,3043
53,1,-16357,-545
54,1,15665,-4104
55,1,-12465,10081
56,1,5242,-14989
57,1,5314,14813
58,1,-14229,-6408
59,1,13600,-7400
60,1,-572,15361
61,1,-13660,-6825
62,1,10726,-10741
63,1,8083,12754
0,2,-18103,-20889
1,2,-18370,20636
2,2,24203,13265
3,2,4768,-27142
4,2,-26579,7064
5,2,19757,19030
6,2,2923,-27191
7,2,-21326,16966
8,2,27141,-111
9,2,-23229,-13799
10,2,15760,21778
11,2,-9260,-25080
12,2,5804,25934
13,2,-6003,-25713
14,2,9840,24306
15,2,-16554,-20087
16,2,23533,10639
17,2,-25164,4775
18,2,14613,-20765
19,2,7849,23904
20,2,-24602,-3976
21,2,11234,-21969
22,2,19902,14152
23,2,-13537,20013
24,2,-22002,-9322
25,2,822,-23610
26,2,20440,-11284
27,2,21648,7970
28,2,11640,19588
29,2,683,22490
30,2,-6540,21227
31,2,-9559,19729
32,2,-8947,19696
33,2,-4752,20807
34,2,3234,20803
35,2,13525,15755
36,2,20303,2662
37,2,14416,-14139
38,2,-5600,-19106
39,2,-19621,-638
40,2,-3438,19049
41,2,18860,2938
42,2,-713,-18808
43,2,-17120,7173
44,2,14567,11091
45,2,-627,-18051
46,2,-11355,13736
47,2,16742,-5392
48,2,-17273,-1775
49,2,16018,6118
50,2,-15032,-7806
51,2,15088,7248
52,2,-15926,-4493
53,2,16355,-591
54,2,-14351,7503
55,2,7865,-13970
56,2,3003,15593
57,2,-13375,-8292
58,2,14439,-5918
59,2,-1914,15364
60,2,-13283,-7736
61,2,11227,-10351
62,2,7887,12970
63,2,-13641,6475
0,3,10128,25720
1,3,25053,-11646
2,3,-15330,-22951
3,3,-18368,20544
4,3,25603,10042
5,3,-2466,-27321
6,3,-21497,16906
7,3,26647,5706
8,3,-15411,-22342
9,3,-721,27009
10,3,13536,-23226
11,3,-20862,16719
12,3,23984,-11446
13,3,-24751,9197
14,3,24043,-10465
15,3,-21292,14972
16,3,14686,-21244
17,3,-2508,25490
18,3,-13600,-21441
19,3,24740,4579
20,3,-17342,17897
21,3,-9119,-22928
22,3,24239,-2972
23,3,811,24147
24,3,-23737,2742
25,3,-8495,-22044
26,3,16374,-16644
27,3,22706,4072
28,3,12819,18838
29,3,-504,22494
30,3,-9974,19847
31,3,-14649,16310
32,3,-15825,14750
33,3,-14261,15878
34,3,-9453,18811
35,3,-465,20759
36,3,11520,16929
37,3,19875,3564
38,3,13963,-14193
39,3,-7060,-18318
40,3,-19229,2221
41,3,641,19076
42,3,18682,-2291
43,3,-6860,-17248
44,3,-12741,13149
45,3,17760,3287
46,3,-9546,-15050
47,3,-1722,17504
48,3,9874,-14283
49,3,-14026,9863
50,3,15531,-6760
51,3,-15690,5830
52,3,14934,-7127
53,3,-12771,10235
54,3,8154,-13991
55,3,-428,16026
56,3,-9016,-13071
57,3,15388,3295
58,3,-12266,9647
59,3,-1392,-15420
60,3,14310,5613
61,3,-10178,11384
62,3,-8431,-12623
63,3,13692,-6365
0,4,-27624,-989
1,4,-998,27610
2,4,27561,-1453
3,4,-6434,-26796
4,4,-23899,13608
5,4,21544,16981
6,4,4720,-26938
7,4,-24731,11446
8,4,24858,10896
9,4,-11328,-24529
10,4,-4460,26510
11,4,15887,-21503
12,4,-21958,14970
13,4,24324,-10272
14,4,-24707,8786
15,4,23681,-10804
16,4,-20372,15874
17,4,12821,-22173
18,4,354,25388
19,4,-16373,-19103
20,4,24920,212
21,4,-13194,20851
22,4,-14085,-19950
23,4,22358,-9158
24,4,7755,22602
25,4,-21355,10102
26,4,-15470,-17488
27,4,8806,-21322
28,4,22149,-5348
29,4,19406,11387
30,4,9623,20019
31,4,705,21912
32,4,-4450,21170
33,4,-5687,20571
34,4,-3257,20799
35,4,2813,20573
36,4,11622,16860
37,4,19144,6422
38,4,17518,-9462
39,4,1613,-19565
40,4,-17112,-9049
41,4,-12564,14369
42,4,13382,13236
43,4,11560,-14523
44,4,-16882,-7086
45,4,771,18045
46,4,14231,-10728
47,4,-17362,-2816
48,4,11981,12568
49,4,-4551,-16532
50,4,-1209,16895
51,4,4331,-16168
52,4,-4976,15782
53,4,3345,-16021
54,4,545,16185
55,4,-6380,-14708
56,4,12608,9653
57,4,-15735,-264
58,4,11478,-10572
59,4,851,15460
60,4,-13352,-7616
61,4,12683,-8504
62,4,3547,14759
63,4,-15097,-250
0,5,-4246,-27314
1,5,-26171,8853
2,5,15479,22851
3,5,15657,-22678
4,5,-27282,-3469
5,5,12239,24550
6,5,10746,-25148
7,5,-24877,11125
8,5,26590,5443
9,5,-20730,-17329
10,5,13173,23434
11,5,-7526,-25654
12,5,5226,26057
13,5,-6617,-25562
14,5,11516,23558
15,5,-18768,-18035
16,5,24940,6705
17,5,-23639,9861
18,5,8946,-23763
19,5,14530,20540
20,5,-24505,4538
21,5,2090,-24586
22,5,23999,4519
23,5,-2869,23990
24,5,-23729,2815
25,5,-11874,-20423
26,5,10427,-20891
27,5,22092,-6641
28,5,21411,7795
29,5,15431,16374
30,5,9974,19847
31,5,7552,20581
32,5,8702,19805
33,5,12957,16959
34,5,18435,10167
35,5,20688,-1780
36,5,13507,-15391
37,5,-4375,-19713
38,5,-19336,-4746
39,5,-9890,16959
40,5,15471,11634
41,5,10661,-15832
42,5,-17525,-6866
43,5,206,18561
44,5,15525,-9706
45,5,-17236,-5399
46,5,9518,15067
47,5,-270,-17587
48,5,-6434,16128
49,5,10025,-13911
50,5,-11198,12709
51,5,10478,-13053
52,5,-7790,14599
53,5,2723,-16138
54,5,4614,15523
55,5,-12296,-10287
56,5,15878,-220
57,5,-10440,11775
58,5,-3452,-15218
59,5,14850,4381
60,5,-9771,11867
