b_index,l_index,z_re,z_im,clip_re,clip_im,overflow_re,overflow_im
0,0,-4207078,-4668203,0,0,0,0
1,0,5511965,1403417,0,0,0,0
2,0,-5505417,197263,0,0,0,0
3,0,-2184546,-3098780,0,0,0,0
4,0,1079978,1113457,0,0,0,0
5,0,-1786605,-338915,0,0,0,0
6,0,5068578,-1688048,0,0,0,0
0,1,4489510,3635024,0,0,0,0
1,1,-4915060,-2925109,0,0,0,0
2,1,5597683,-341621,0,0,0,0
3,1,1380426,1681479,0,0,0,0
4,1,-924985,-1378941,0,0,0,0
5,1,1869951,376430,0,0,0,0
6,1,-5584210,125542,0,0,0,0
0,2,-1320792,4980213,0,0,0,0
1,2,4069178,-2491062,0,0,0,0
2,2,837414,4859943,0,0,0,0
3,2,1310542,858997,0,0,0,0
4,2,1399150,-547900,0,0,0,0
5,2,-272274,1736264,0,0,0,0
6,2,2184125,-4506053,0,0,0,0
0,3,-1159198,5009328,0,0,0,0
1,3,4001682,-2558217,0,0,0,0
2,3,938535,4798838,0,0,0,0
3,3,1379700,824970,0,0,0,0
4,3,1359094,-573532,0,0,0,0
5,3,-243787,1716848,0,0,0,0
6,3,2088832,-4532530,0,0,0,0
