metric,value
step13_scope,FPGA_DBF_CPU_SOC_ML_partition
formal_result_claimed,false
engineering_validation_flag,true
W_method,greedy_combined_B7
engineering_recommended_dbf_format,mixed_W18_Y16_Z24
fallback_dbf_format,mixed_W24_Y16_Z24
N_input_channels,2080
B_output_beams,7
L_snapshots_sweep,16
fulln_rtl_L_snapshots,2
ACC_bits,48
Z_bits,24
fixed_shift_policy_pass_flag,true
engineering_Z_shift_bits,20
minimum_observed_headroom_bits,1
global_clip_count,0
global_overflow_count,0
fulln_functional_pass_flag,true
fulln_accumulator_match_flag,true
fulln_z24_match_flag,true
fulln_missing_count,0
fulln_mismatch_count,0
ooc_synthesis_pass_flag,true
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
reference_device_only,true
single_lane_LUT,487
single_lane_FF,193
single_lane_DSP_actual,4
single_lane_BRAM36,0
single_lane_URAM,0
single_lane_WNS_ns,1.675
b7_LUT,3376
b7_FF,1345
b7_DSP_actual,28
b7_BRAM36,0
b7_URAM,0
b7_WNS_ns,1.675
timing_200MHz_met_flag,true
step13_engineering_closure_flag,true
proceed_to_dbf_ip_integration_flag,true
proceed_to_board_validation_flag,0
proceed_to_full_fpga_backend_flag,0
step11_7_backend_default_changed,false
rz_gcache_ml_topk_c05_cpu_soc_responsibility,true
blocker_if_any,
