metric,value
formal_result_claimed,false
engineering_validation_flag,true
planned_observations,84
completed_observations,84
W_method,greedy_combined_B7
N_input_channels,2080
B_output_beams,7
L_snapshots,16
primary_quant_mode,mixed_W18_Y16_Z24
fallback_quant_mode,mixed_W24_Y16_Z24
fixed_shift_policy_pass_flag,true
engineering_Z_shift_bits,20
minimum_observed_headroom_bits,1
global_clip_count,0
global_overflow_count,0
worst_Z_rel_l2_error,4.6644661874251108e-05
worst_beam_power_rel_error,1.3554578191520584e-05
worst_Z_cov_Rz_rel_error,2.0234182961274521e-05
minimum_top_beam_same_rate,1
minimum_topK_beam_set_preservation,1
minimum_beam_power_rank_preservation,1
worst_case_center_az,0
worst_case_scenario,weak_secondary
worst_case_trial,3
blocker_if_any,
step11_7_full_backend_called,false
step11_7_backend_default_changed,false
