shift_bits,completed_observations,global_clip_count,global_overflow_count,minimum_observed_headroom_bits,worst_Z_rel_l2_error,worst_Z_max_abs_error,worst_beam_power_rel_error,minimum_top_beam_same_rate,minimum_topK_beam_set_preservation,minimum_beam_power_rank_preservation,worst_Z_cov_Rz_rel_error,same_backend_input_shape_rate,Rz_shape_same_rate,cpu_soc_ml_ready_rate,shift_pass_flag,max_abs_acc,max_abs_z_integer
0,84,18815,18815,-19,0.999994777107965,26.881953232471,0.999999999984197,0,0,0.0952380952380952,0.999999999971905,1,1,1,0,3448599217904,3448599217904
1,84,18815,18815,-18,0.999989554248386,26.8818632152682,0.999999999936785,0,0,0.0952380952380952,0.999999999887617,1,1,1,0,3448599217904,1724299608952
2,84,18811,18811,-17,0.999979108626601,26.8816831808898,0.999999999747142,0,0,0.0952380952380952,0.999999999550466,1,1,1,0,3448599217904,862149804476
3,84,18803,18803,-16,0.999958217772528,26.881323112242,0.999999998988567,0,0,0.0952380952380952,0.999999998201866,1,1,1,0,3448599217904,431074902238
4,84,18793,18793,-15,0.999916437622492,26.8806029753823,0.999999995954267,0,0,0.0952380952380952,0.999999992807462,1,1,1,0,3448599217904,215537451119
5,84,18767,18767,-14,0.99983288355577,26.8791627034064,0.999999983817069,0,0,0.0952380952380952,0.999999971229846,1,1,1,0,3448599217904,107768725560
6,84,18714,18714,-13,0.99966580036302,26.8762821664302,0.999999935268279,0,0,0.0952380952380952,0.999999884919394,1,1,1,0,3448599217904,53884362780
7,84,18628,18628,-12,0.99933173379867,26.8705211203907,0.999999741073185,0,0,0.0952380952380952,0.999999539677747,1,1,1,0,3448599217904,26942181390
8,84,18443,18443,-11,0.998663999863815,26.858999140047,0.999998964310957,0,0,0.0952380952380952,0.999998158775538,1,1,1,0,3448599217904,13471090695
9,84,18115,18115,-10,0.997330118579721,26.8359556269725,0.999995859779878,0,0,0.238095238095238,0.99999263451884,1,1,1,0,3448599217904,6735545347
10,84,17379,17379,-9,0.994668627879721,26.7898703966653,0.999983478748727,0,0,0.238095238095238,0.999970561010209,1,1,1,0,3448599217904,3367772674
11,84,15989,15989,-8,0.98937031826619,26.6977071628165,0.999934027523924,0,0,0.380952380952381,0.999882358906908,1,1,1,0,3448599217904,1683886337
12,84,13667,13667,-7,0.978869988530117,26.5134099538608,0.999741080833463,0,0.333333333333333,0.428571428571429,0.99953198450084,1,1,1,0,3448599217904,841943168
13,84,10624,10624,-6,0.958248515748306,26.144935458141,0.998974211606819,0,0.333333333333333,0.428571428571429,0.998137957968118,1,1,1,0,3448599217904,420971584
14,84,7040,7040,-5,0.918518229949847,25.5304167944709,0.995955797563923,0,0.333333333333333,0.571428571428571,0.992649015876984,1,1,1,0,3448599217904,210485792
15,84,4137,4137,-4,0.844387330074568,24.4424900698724,0.98451833692618,0,0.666666666666667,0.761904761904762,0.971842733269507,1,1,1,0,3448599217904,105242896
16,84,2040,2040,-3,0.719791937630242,22.3248932878764,0.943272858893412,0,0.666666666666667,0.857142857142857,0.900065376748461,1,1,1,0,3448599217904,52621448
17,84,887,887,-2,0.526467081375214,18.0910515320547,0.807875288239339,0,1,0.952380952380952,0.718871373778339,1,1,1,0,3448599217904,26310724
18,84,202,202,-1,0.231707520752907,9.62336802041151,0.404442977565175,0,1,0.952380952380952,0.33563691804544,1,1,1,0,3448599217904,13155362
19,84,0,0,0,4.62234831236551e-05,4.02149945000543e-05,1.16223859899836e-05,1,1,1,1.82744034179114e-05,1,1,1,0,3448599217904,6577681
20,84,0,0,1,4.66446618742511e-05,4.04956308080213e-05,1.35545781915206e-05,1,1,1,2.02341829612745e-05,1,1,1,1,3448599217904,3288841
21,84,0,0,2,5.27551502377709e-05,4.26396887486096e-05,1.3126224985732e-05,1,1,1,2.27787644282363e-05,1,1,1,1,3448599217904,1644420
22,84,0,0,3,6.69383639764442e-05,5.11363998405476e-05,2.77318028454813e-05,1,1,1,3.00296559043683e-05,1,1,1,1,3448599217904,822210
23,84,0,0,4,0.000109910796238869,7.38349999569142e-05,3.69388650772274e-05,1,1,1,3.57524706789032e-05,1,1,1,1,3448599217904,411105
24,84,0,0,5,0.000203590862577396,0.000112695723883123,5.34521815742377e-05,1,1,1,7.77341907206827e-05,1,1,1,1,3448599217904,205553
25,84,0,0,6,0.000404254342827178,0.000204119561246533,0.00015184795712343,1,1,1,0.000140752470101409,1,1,1,1,3448599217904,102776
26,84,0,0,7,0.000783970777149366,0.0003722926427388,0.000189070952831456,1,1,1,0.000217001253470982,1,1,1,1,3448599217904,51388
27,84,0,0,8,0.00157891060936764,0.000742004938940176,0.000356356064936392,1,1,1,0.000498393754526783,1,1,1,0,3448599217904,25694
28,84,0,0,9,0.00324260480955653,0.00146643632535774,0.000766861942130907,1,1,1,0.00106390467553427,1,1,1,0,3448599217904,12847
29,84,0,0,10,0.0063362970233531,0.00291033439368983,0.00163427339021727,1,1,1,0.00222454281644553,1,1,1,0,3448599217904,6424
30,84,0,0,11,0.0117864118182472,0.00585456436722961,0.00429987514818646,1,1,1,0.00582342242471721,1,1,1,0,3448599217904,3212
31,84,0,0,12,0.0257128326716913,0.0116104695971431,0.00667851198139919,1,1,0.952380952380952,0.00967495350563209,1,1,1,0,3448599217904,1606
