metric,value
normal_frame_pass,true
input_gap_pass,true
output_backpressure_pass,true
backpressure_stability_pass,true
two_consecutive_frames_pass,true
input_ready_lockout_pass,true
beam_order_pass,true
early_tlast_detected,true
missing_tlast_detected,true
bad_tkeep_detected,true
protocol_cases_pass,true
expected_output_rows,14
actual_output_rows,14
timeout_flag,false
axis_tb_pass_flag,true
formal_result_claimed,false
dma_validation_flag,false
ps_validation_flag,false
board_validation_flag,false
