metric,value
source_step,Step13.4
source_commit,1637556
input_source,step11_light
W_method,greedy_combined_B7
N_input_channels,2080
B_output_beams,7
L_frames,2
W_bits,18
Y_bits,16
ACC_bits,48
Z_bits,24
engineering_Z_shift_bits,20
y_axis_data_width,32
z_axis_data_width,64
formal_result_claimed,false
dma_validation_flag,false
ps_validation_flag,false
board_validation_flag,false
custom_ip_packaged_flag,false
source_metadata_relative_path,../step_13_fpga_soc_dbf_boundary/results_step13_fpga_soc_dbf_boundary/rtl_fulln/step13_4_fulln_metadata.csv
