metric,value
step14_1_axis_system_pass_flag,true
step14_2_packaging_functional_pass_flag,true
w_split_vector_pass_flag,true
w_split_reconstruction_match_flag,true
optimized_raw_top_xsim_pass_flag,true
packaged_ip_xsim_pass_flag,true
packaged_ip_output_match_flag,true
expected_rows,14
actual_rows,14
matched_rows,14
old_BRAM36_equiv,28
new_BRAM18,0
new_BRAM36,14
new_BRAM36_equiv,14.000
w_memory_inferred_flag,true
w_memory_resource_optimization_pass_flag,true
old_WNS_ns,-8.586
new_WNS_ns,0.377
new_TNS_ns,0.000
new_failing_endpoints,0
timing_200MHz_met_flag,true
advertised_aclk_Hz,200000000
advertised_clock_MHz,200
timing_validates_advertised_clock_flag,true
old_DSP,28
new_DSP,42
old_LUT,3594
new_LUT,2155
old_FF,1810
new_FF,4695
DPIP_1_count,0
DPOP_1_count,15
DPOP_2_count,0
ZPS7_1_count,2
step14_2a_optimization_pass_flag,true
proceed_to_reference_bd_design_flag,true
proceed_to_target_board_dma_flag,false
proceed_to_board_validation_flag,false
proceed_to_full_fpga_backend_flag,false
custom_ip_packaged_flag,true
formal_result_claimed,false
block_design_created_flag,false
bitstream_generated_flag,false
xsa_generated_flag,false
hwh_generated_flag,false
timing_blocker_or_followup,none
blocker_if_any,
