metric,value
vivado_version,2024.2
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
reference_device_only,true
clock_MHz,200
clock_period_ns,5.000
advertised_aclk_Hz,200000000
advertised_clock_MHz,200
packaged_ip_ooc_synthesis_status,pass
LUT,2059
FF,4696
DSP,42
BRAM18,0
BRAM36,14
BRAM36_equiv,14.000
URAM,0
distributed_RAM,0
WNS_ns,0.377
TNS_ns,0.000
failing_endpoints,0
timing_200MHz_met_flag,true
timing_validates_advertised_clock_flag,true
worst_path_source,inst/u_system/u_w_provider/u_im0/u_main_sprom/xpm_memory_base_inst/gen_rd_a.gen_rd_a_synth_template.gen_rf_narrow_reg.douta_reg_reg/CLKARDCLK
worst_path_destination,inst/u_system/u_datapath/u_core/gen_lane[0].u_lane/u_accum/u_mac/p_im_reg/A[0]
worst_path_data_delay_ns,4.177
worst_path_logic_levels,1
w_memory_inferred_flag,true
w_memory_resource_optimization_pass_flag,true
formal_result_claimed,false
implementation_closure_claimed,false
board_validation_flag,false
blocker_if_any,
