metric,value
implementation_status,pass
route_completed_flag,true
clock_MHz,200
clock_period_ns,5.000
LUT,2097
FF,5112
DSP,42
BRAM18,1
BRAM36,16
WNS_ns,-0.076
TNS_ns,-0.079
failing_endpoints,2
WHS_ns,0.096
hold_failing_endpoints,0
post_route_timing_200MHz_met_flag,false
opt_design_directive,Explore
place_design_directive,ExtraNetDelay_high
phys_opt_enabled,true
phys_opt_directive,AggressiveExplore
route_design_directive,AggressiveExplore
post_route_phys_opt_enabled,true
post_route_phys_opt_directive,AggressiveExplore
post_route_phys_opt_manual_status,pass
bitstream_generated_flag,false
xsa_generated_flag,false
hwh_generated_flag,false
implementation_closure_claimed,false
board_validation_flag,false
formal_result_claimed,false
blocker_if_any,post_route_timing_200MHz_not_met
