metric,value
vivado_version,2024.2
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
clock_MHz,200
clock_source,reference_default
project_name,step14_3a_reference_bd
bd_name,dbf_reference_bd
wrapper_top,dbf_reference_bd_wrapper
ip_vlnv,user.org:radar:dbf_axis:1.0
ip_catalog_registration_pass_flag,true
bd_create_status,pass
bd_validate_pass_flag,true
bd_wrapper_generated_flag,true
actual_cells,axis_in_fifo_0;axis_out_fifo_0;dbf_axis_0
forbidden_auto_cell_count,0
reference_bd_structure_pass_flag,true
bitstream_generated_flag,false
xsa_generated_flag,false
hwh_generated_flag,false
formal_result_claimed,false
blocker_if_any,
