metric,value
comparison_status,pass
case_a_expected_rows,14
case_a_actual_rows,14
case_a_matched_rows,14
case_b_expected_rows,28
case_b_actual_rows,28
case_b_matched_rows,28
missing_count,0
duplicate_count,0
tdata_mismatch_count,0
z_value_mismatch_count,0
flag_mismatch_count,0
tlast_mismatch_count,0
beam_order_mismatch_count,0
case_a_output_match_flag,true
case_b_output_match_flag,true
reference_bd_tb_pass_flag,true
reference_bd_compare_pass_flag,true
formal_result_claimed,false
dma_validation_flag,false
ps_validation_flag,false
board_validation_flag,false
