frame_index,beam_id,tdata_hex,z_re,z_im,clip_re,clip_im,overflow_re,overflow_im,tlast
0,0,0000fba812cdd0f7,-3288841,-284654,0,0,0,0,0
0,1,0010f508240eb156,962902,-718812,0,0,0,0,0
0,2,0020ee3d8df9ecc2,-398142,-1163891,0,0,0,0,0
0,3,0030f95646089afe,563966,-436666,0,0,0,0,0
0,4,0040060e96072d54,470356,396950,0,0,0,0,0
0,5,0050fee9a6fec51f,-80609,-71258,0,0,0,0,0
0,6,006006b6a6fc68fc,-235268,439974,0,0,0,0,1
1,0,0000d2bd1bec8a18,-1275368,-2966245,0,0,0,0,0
1,1,00100a559a1240f3,1196275,677274,0,0,0,0,0
1,2,0020f23e4b0d75dd,882141,-901557,0,0,0,0,0
1,3,0030041961099b59,629593,268641,0,0,0,0,0
1,4,00400913e2fe48bc,-112452,594914,0,0,0,0,0
1,5,0050fe21c0ffb8e3,-18205,-122432,0,0,0,0,0
1,6,0060ffcafbf783d6,-556074,-13573,0,0,0,0,1
2,0,0000fba812cdd0f7,-3288841,-284654,0,0,0,0,0
2,1,0010f508240eb156,962902,-718812,0,0,0,0,0
2,2,0020ee3d8df9ecc2,-398142,-1163891,0,0,0,0,0
2,3,0030f95646089afe,563966,-436666,0,0,0,0,0
2,4,0040060e96072d54,470356,396950,0,0,0,0,0
2,5,0050fee9a6fec51f,-80609,-71258,0,0,0,0,0
2,6,006006b6a6fc68fc,-235268,439974,0,0,0,0,1
3,0,0000d2bd1bec8a18,-1275368,-2966245,0,0,0,0,0
3,1,00100a559a1240f3,1196275,677274,0,0,0,0,0
3,2,0020f23e4b0d75dd,882141,-901557,0,0,0,0,0
3,3,0030041961099b59,629593,268641,0,0,0,0,0
3,4,00400913e2fe48bc,-112452,594914,0,0,0,0,0
3,5,0050fe21c0ffb8e3,-18205,-122432,0,0,0,0,0
3,6,0060ffcafbf783d6,-556074,-13573,0,0,0,0,1
