metric,value
step14_2b_hardening_pass_flag,true
step14_3a_functional_evidence_pass_flag,true
phase_a_strategy_count,9
phase_a_strategy_sweep_pass_flag,true
phase_a_best_strategy,Performance_NetDelay_high
phase_a_best_implementation_stop_step,route_design
phase_a_best_post_route_phys_opt_executed_flag,false
phase_a_best_WNS_ns,0.205
phase_a_clean_rerun_pass_flag,true
phase_b_required_flag,false
operand_pipeline_added_flag,false
operand_pipeline_extra_latency_cycles,0
mac_pipe_equivalence_applicable_flag,false
mac_pipe_equivalence_status,not_applicable
mac_pipe_equivalence_gate_pass_flag,true
input_throughput_samples_per_cycle,1
baseline_WNS_ns,-0.076
baseline_TNS_ns,-0.079
baseline_setup_failing_endpoints,2
baseline_WHS_ns,0.096
baseline_hold_failing_endpoints,0
final_strategy,Performance_NetDelay_high
final_WNS_ns,0.205
final_TNS_ns,0.000
final_setup_failing_endpoints,0
final_WHS_ns,0.093
final_hold_failing_endpoints,0
final_LUT,2096
final_FF,5031
final_DSP,42
final_BRAM18,1
final_BRAM36,16
final_URAM,0
DPIP_1_count,14
DPOP_1_count,14
DPOP_2_count,0
ZPS7_1_count,1
TIMING_18_count,153
unexpected_drc_error_count,0
unexpected_methodology_violation_count,0
external_clock_association_pass_flag,true
reference_methodology_expected_only_flag,true
baseline_axis_regression_pass_flag,true
optimized_raw_top_xsim_pass_flag,true
packaged_ip_xsim_pass_flag,true
packaged_ip_exact_compare_pass_flag,true
reference_bd_xsim_pass_flag,true
reference_bd_exact_compare_pass_flag,true
step14_3b_post_route_timing_pass_flag,true
step14_3b_timing_margin_pass_flag,true
step14_3b_reference_bd_timing_closure_flag,true
step14_reference_bd_integration_pass_flag,true
proceed_to_platform_freeze_flag,true
proceed_to_target_board_dma_flag,false
proceed_to_board_validation_flag,false
proceed_to_full_fpga_backend_flag,false
reference_device_only,true
block_design_created_flag,true
bitstream_generated_flag,false
xsa_generated_flag,false
hwh_generated_flag,false
formal_result_claimed,false
blocker_if_any,
